period,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,incarceration_rate_pct
2014-2019,42,US-born,1015476000,32467200.0,3.1972395211703675
2014-2019,44,Foreign-born,15682000,101200.0,0.6453258512944777
2014-2019,44,US-born,81699100,874800.0,1.070758429407423
2014-2019,45,Foreign-born,34020800,754000.0,2.2162912100832433
2014-2019,45,US-born,409173100,12436400.0,3.039398240011379
2014-2019,46,Foreign-born,4782300,94600.0,1.9781276791501996
2014-2019,46,US-born,76782100,2174300.0,2.831779802844673
2014-2019,47,Foreign-born,50360600,638300.0,1.2674590850784144
2014-2019,47,US-born,549231300,16941600.0,3.0846020610988485
2014-2019,48,Foreign-born,588166500,12507400.0,2.1265066949579756
2014-2019,48,US-born,2176070200,74053800.0,3.403097933145723
2014-2019,49,Foreign-born,34698800,348200.0,1.0034929161815394
2014-2019,49,US-born,286571900,4404500.0,1.5369615792755675
2014-2019,50,Foreign-born,2839600,8500.0,0.29933793492041133
2014-2019,50,US-born,51795500,547100.0,1.0562693670299543
2014-2019,51,Foreign-born,123089700,1133300.0,0.9207106687237031
2014-2019,51,US-born,668940900,20375200.0,3.0458894051776473
2014-2019,53,Foreign-born,132356400,687300.0,0.5192797628221982
2014-2019,53,US-born,585602600,10256900.0,1.7515120322211684
2014-2019,54,Foreign-born,3636900,232400.0,6.390057466523688
2014-2019,54,US-born,150112000,5054300.0,3.3670192922617774
2014-2019,55,Foreign-born,38294200,346600.0,0.9050978999430723
2014-2019,55,US-born,477992300,13152600.0,2.751634283648502
2014-2019,56,Foreign-born,2843200,47400.0,1.6671356218345528
2014-2019,56,US-born,52870100,1119900.0,2.1182104819170005
2020-2024,1,Foreign-born,19638500,312300.0,1.5902436540468978
2020-2024,1,US-born,347784900,8629600.0,2.4813038173882767
2020-2024,2,Foreign-born,4629200,79500.0,1.717359370949624
2020-2024,2,US-born,60672300,1068900.0,1.7617594849709013
2020-2024,4,Foreign-born,78668800,1420600.0,1.8057984868206964
2020-2024,4,US-born,509239500,14404800.0,2.828688662211003
2020-2024,5,Foreign-born,16537000,233300.0,1.410775836004112
2020-2024,5,US-born,211816400,6526400.0,3.081158965972418
2020-2024,6,Foreign-born,758799100,5906200.0,0.7783614925215383
2020-2024,6,US-born,2472019600,47359600.0,1.9158262337402177
2020-2024,8,Foreign-born,55615800,551900.0,0.9923439022723758
