YEAR,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,incarceration_rate_pct
2009,54,Foreign-born,494900,13900.0,2.8086482117599516
2009,54,US-born,26280900,536800.0,2.0425480101518594
2009,55,Foreign-born,6629400,87000.0,1.3123359580052492
2009,55,US-born,79826500,2637400.0,3.303915366450991
2009,56,Foreign-born,394400,0.0,0.0
2009,56,US-born,8740200,164400.0,1.8809638223381615
2010,1,Foreign-born,5299800,54200.0,1.022680101135892
2010,1,US-born,66032900,2261000.0,3.4240507383440675
2010,2,Foreign-born,922900,0.0,0.0
2010,2,US-born,10868900,258400.0,2.3774254984405045
2010,4,Foreign-born,18415000,1120400.0,6.084170513168612
2010,4,US-born,82700600,3272000.0,3.9564404611332926
2010,5,Foreign-born,3689400,50700.0,1.3742071881606763
2010,5,US-born,40605100,1376000.0,3.388736882805362
2010,6,Foreign-born,207050000,2408600.0,1.1632938903646461
2010,6,US-born,420541500,13334200.0,3.1707215578010732
2010,8,Foreign-born,12003000,421200.0,3.5091227193201697
2010,8,US-born,70931800,1964200.0,2.7691388065719464
2010,9,Foreign-born,9712000,51800.0,0.5333607907742999
2010,9,US-born,39627200,1283700.0,3.23944159567166
2010,10,Foreign-born,1760700,0.0,0.0
2010,10,US-born,11337100,423400.0,3.7346411339760612
2010,11,Foreign-born,2125700,14200.0,0.6680152420379168
2010,11,US-born,9972400,142000.0,1.4239300469295255
2010,12,Foreign-born,64487500,862800.0,1.3379337080829619
2010,12,US-born,202243800,8376400.0,4.141733887515959
2010,13,Foreign-born,26000900,545500.0,2.098004299851159
2010,13,US-born,127974200,5858200.0,4.577641430850906
2010,15,Foreign-born,3353000,37300.0,1.1124366239188788
2010,15,US-born,18150300,271000.0,1.493088268513468
2010,16,Foreign-born,2075300,82600.0,3.9801474485616537
2010,16,US-born,22249200,546300.0,2.455369181813279
2010,17,Foreign-born,39633300,364200.0,0.9189242379514196
2010,17,US-born,162373300,4458700.0,2.7459563856865628
2010,18,Foreign-born,7839700,186000.0,2.3725397655522533
2010,18,US-born,91405300,3069500.0,3.3581203715758274
2010,19,Foreign-born,3742700,102600.0,2.741336468325006
2010,19,US-born,41610800,733600.0,1.7630038355426958
2010,20,Foreign-born,4967600,96000.0,1.9325227474031723
2010,20,US-born,38866500,1112500.0,2.862362188517104
2010,21,Foreign-born,4225100,56500.0,1.3372464557051904
2010,21,US-born,61838200,2397700.0,3.8773767671115915
2010,22,Foreign-born,5250600,131100.0,2.4968575019997714
2010,22,US-born,66928300,3316000.0,4.9545558455840055
2010,23,Foreign-born,557000,8400.0,1.5080789946140034
2010,23,US-born,16961800,265000.0,1.562334186230235
2010,24,Foreign-born,17929900,116200.0,0.6480794650276912
2010,24,US-born,68425200,2029600.0,2.96615866669005
2010,25,Foreign-born,20151800,199200.0,0.9884973054516222
2010,25,US-born,77142100,1205900.0,1.5632190464091593
2010,26,Foreign-born,11696300,138500.0,1.1841351538520728
2010,26,US-born,131660300,3677100.0,2.792869224815681
2010,27,Foreign-born,9279900,94500.0,1.0183299389002036
2010,27,US-born,72021200,1321900.0,1.8354317895286387
2010,28,Foreign-born,1965000,114700.0,5.837150127226463
2010,28,US-born,44006000,2335400.0,5.307003590419488
2010,29,Foreign-born,5702000,60700.0,1.0645387583304105
2010,29,US-born,84294800,2567300.0,3.0456208449394273
2010,30,Foreign-born,202300,6400.0,3.1636183885318827
2010,30,US-born,14338800,239700.0,1.6716880073646327
2010,31,Foreign-born,2849700,86300.0,3.028388953223146
2010,31,US-born,25531200,474700.0,1.8592937268910195
2010,32,Foreign-born,11183100,131000.0,1.1714104318122882
2010,32,US-born,32878200,908700.0,2.763837436356005
2010,33,Foreign-born,1127200,12500.0,1.1089425124201562
2010,33,US-born,17024700,318000.0,1.8678743237766304
2010,34,Foreign-born,36994200,323700.0,0.8750020273448269
2010,34,US-born,91241000,2843300.0,3.1162525618965153
2010,35,Foreign-born,4137500,134500.0,3.2507552870090635
2010,35,US-born,27965400,917800.0,3.2819126492022286
2010,36,Foreign-born,80843700,662100.0,0.8189877504369543
2010,36,US-born,221721500,5458700.0,2.4619624168156897
2010,37,Foreign-born,21227500,178500.0,0.8408903544929927
2010,37,US-born,126397400,3832200.0,3.0318661618039613
2010,38,Foreign-born,609000,0.0,0.0
2010,38,US-born,11071600,183600.0,1.6582969037898767
2010,39,Foreign-born,10359700,244400.0,2.3591416739866986
2010,39,US-born,156797300,5071300.0,3.2343031416995065
2010,40,Foreign-born,5975200,79200.0,1.3254786450662739
2010,40,US-born,53328900,2381400.0,4.465496194371158
2010,41,Foreign-born,9141700,116100.0,1.2700044849426255
2010,41,US-born,50061400,1245100.0,2.4871457849760494
2010,42,Foreign-born,15350600,296500.0,1.931520592028976
2010,42,US-born,167241700,5847600.0,3.4964963881615647
2010,44,Foreign-born,2428500,40400.0,1.6635783405394275
2010,44,US-born,12776800,231600.0,1.8126604470602967
2010,45,Foreign-born,6986900,136600.0,1.9550873778070388
2010,45,US-born,63605300,2426500.0,3.8149336611886113
2010,46,Foreign-born,513300,6600.0,1.2857977790765636
2010,46,US-born,11890600,379100.0,3.1882327216456696
2010,47,Foreign-born,8505500,60700.0,0.7136558697313503
2010,47,US-born,86259800,2847900.0,3.3015379122140325
2010,48,Foreign-born,98833000,2337700.0,2.365303087025589
2010,48,US-born,319753400,13266600.0,4.149009830700784
2010,49,Foreign-born,5920200,116400.0,1.966149792236749
2010,49,US-born,43019100,732700.0,1.7031969520515307
2010,50,Foreign-born,429900,0.0,0.0
2010,50,US-born,8349600,119500.0,1.4312062853310337
2010,51,Foreign-born,21729700,169800.0,0.7814189795533302
2010,51,US-born,103312800,3855200.0,3.7315802107773677
2010,53,Foreign-born,19865500,198000.0,0.9967028265082681
2010,53,US-born,86717900,1876100.0,2.1634518363567383
2010,54,Foreign-born,652800,34900.0,5.346200980392156
2010,54,US-born,26538000,1003800.0,3.7825005652272212
2010,55,Foreign-born,6190400,133800.0,2.161411217368829
2010,55,US-born,78753500,2173800.0,2.7602582742354307
2010,56,Foreign-born,412600,0.0,0.0
2010,56,US-born,8540200,186500.0,2.1837896068007776
2011,1,Foreign-born,4604600,96000.0,2.0848716500890414
2011,1,US-born,66226500,2482600.0,3.7486504646931365
2011,2,Foreign-born,818100,0.0,0.0
2011,2,US-born,11544000,221600.0,1.9196119196119197
2011,4,Foreign-born,17868300,1026800.0,5.746489593302106
2011,4,US-born,84331300,3757900.0,4.456115345073537
2011,5,Foreign-born,3013900,70700.0,2.345797803510402
2011,5,US-born,41096600,1357200.0,3.3024629774725884
2011,6,Foreign-born,203104500,2127500.0,1.0474903313319006
2011,6,US-born,428649200,12626800.0,2.9457187835647423
2011,8,Foreign-born,11864400,350600.0,2.9550588314621895
2011,8,US-born,73174700,2117300.0,2.8934864099203685
2011,9,Foreign-born,9416800,74700.0,0.793263104239232
2011,9,US-born,39586600,1141700.0,2.8840567262659587
2011,10,Foreign-born,1878400,14100.0,0.7506388415672912
2011,10,US-born,11075000,443100.0,4.000902934537246
2011,11,Foreign-born,2390700,20700.0,0.8658551888568202
2011,11,US-born,10114300,258100.0,2.551832553908822
2011,12,Foreign-born,64308700,919000.0,1.429044592722291
2011,12,US-born,204841300,8842200.0,4.31660998050686
2011,13,Foreign-born,25095600,707400.0,2.818820829149333
2011,13,US-born,130469600,5488400.0,4.206650438109721
2011,15,Foreign-born,3336600,38000.0,1.1388838937840917
2011,15,US-born,18057200,228500.0,1.265423210686042
2011,16,Foreign-born,2014100,42300.0,2.1001936348741372
2011,16,US-born,22113200,622700.0,2.815965124902773
2011,17,Foreign-born,39752400,337500.0,0.8490053430736256
2011,17,US-born,163068100,4245400.0,2.6034521773418593
2011,18,Foreign-born,7898400,98100.0,1.2420237010027346
2011,18,US-born,92263700,3060000.0,3.316580627050508
2011,19,Foreign-born,3991100,49900.0,1.2502818771767181
2011,19,US-born,42636100,728900.0,1.7095841317568916
2011,20,Foreign-born,4939000,78000.0,1.579267058108929
2011,20,US-born,38897400,1107900.0,2.848262351725308
2011,21,Foreign-born,3865500,145100.0,3.7537187944638473
2011,21,US-born,62422500,2311100.0,3.7023509151347676
2011,22,Foreign-born,5015200,174500.0,3.4794225554314884
2011,22,US-born,66650800,3264000.0,4.897165525395044
2011,23,Foreign-born,597700,0.0,0.0
2011,23,US-born,17039400,279900.0,1.6426634740659884
2011,24,Foreign-born,17495600,110700.0,0.6327305151009397
2011,24,US-born,69652600,2135300.0,3.0656429192880092
2011,25,Foreign-born,19981700,97700.0,0.48894738685897593
2011,25,US-born,77079100,1252100.0,1.6244351581686864
2011,26,Foreign-born,12318600,81100.0,0.6583540337376
2011,26,US-born,132730600,3842900.0,2.895263036556755
2011,27,Foreign-born,9610600,157700.0,1.6408965101034276
2011,27,US-born,71529300,1127900.0,1.5768363453857368
2011,28,Foreign-born,2226600,377100.0,16.93613581244947
2011,28,US-born,43008200,2023900.0,4.705846792007105
2011,29,Foreign-born,6319300,66400.0,1.0507492918519457
2011,29,US-born,83349900,2472200.0,2.966050349190581
2011,30,Foreign-born,257900,0.0,0.0
2011,30,US-born,14682100,310800.0,2.116863391476696
2011,31,Foreign-born,3130500,56200.0,1.7952403769365917
2011,31,US-born,24864500,490500.0,1.9726919905889924
2011,32,Foreign-born,11476700,225100.0,1.9613652007981388
2011,32,US-born,32127400,989200.0,3.078991764039418
2011,33,Foreign-born,1164500,0.0,0.0
2011,33,US-born,16945400,258100.0,1.523127220366589
2011,34,Foreign-born,37246900,444000.0,1.1920455125124507
2011,34,US-born,90431100,2576900.0,2.849572768660339
2011,35,Foreign-born,4568400,256200.0,5.608090359863409
2011,35,US-born,27996500,928300.0,3.3157716143089315
2011,36,Foreign-born,81386800,633900.0,0.7788732325143635
2011,36,US-born,222897900,5067200.0,2.273327833057198
2011,37,Foreign-born,20498000,251400.0,1.226461118157869
2011,37,US-born,126308400,3649700.0,2.8895148699532256
2011,38,Foreign-born,466200,3200.0,0.6864006864006864
