period,STATEFIP,Foreign-born,US-born,incarceration_rate_pct_gap_foreign_minus_us
2020-2024,29,0.6911384720175912,2.0782171363905877,-1.3870786643729967
2020-2024,30,1.746501308453749,1.7728809466312485,-0.026379638177499373
2020-2024,31,0.8171245237617807,1.8275952620772338,-1.0104707383154532
2020-2024,32,0.7154596681623709,2.115775144606276,-1.4003154764439052
2020-2024,33,1.5710636609379263,1.114156264524963,0.4569073964129632
2020-2024,34,0.57882955459936,1.902599691128194,-1.323770136528834
2020-2024,35,1.6924204247441763,2.949193762562704,-1.2567733378185275
2020-2024,36,0.5765115282566265,1.4957686220719408,-0.9192570938153143
2020-2024,37,0.8067624190548746,1.862021022321251,-1.0552586032663762
2020-2024,38,1.0227907212831835,1.286641375962701,-0.26385065467951746
2020-2024,39,0.7711710892811926,2.260550751830421,-1.4893796625492282
2020-2024,40,1.1672237117567121,3.360413918042091,-2.1931902062853785
2020-2024,41,1.5924416070558673,1.850878021859136,-0.2584364148032687
2020-2024,42,1.1389890335998438,2.511752949612727,-1.3727639160128833
2020-2024,44,1.5445075347116872,0.8879984839050274,0.6565090508066598
2020-2024,45,0.8500703814330346,2.1625286665293153,-1.3124582850962807
2020-2024,46,2.1904464239204042,2.592187368496988,-0.4017409445765838
2020-2024,47,1.1944513943686368,2.4558101561167462,-1.2613587617481097
2020-2024,48,1.5293563304633895,2.866219836970138,-1.3368635065067487
2020-2024,49,0.8444979000109342,1.0082691205918086,-0.16377122058087445
2020-2024,50,0.45089114807095154,0.7565057097029039,-0.3056145616319524
2020-2024,51,0.9651211341766988,2.627464497281576,-1.6623433631048774
2020-2024,53,0.6554306335912783,1.3169438704811918,-0.6615132368899136
2020-2024,54,6.392334449038525,3.7325346204630434,2.659799828575482
2020-2024,55,0.6879506881147985,2.1577781986102815,-1.4698275104954828
2020-2024,56,1.0782709155675363,2.20973531716405,-1.1314644015965134
