period,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,incarceration_rate_per_100k
2014-2019,48,US-born,2176070200,74053800.0,3403.0979331457233
2014-2019,49,Foreign-born,34698800,348200.0,1003.4929161815394
2014-2019,49,US-born,286571900,4404500.0,1536.9615792755676
2014-2019,50,Foreign-born,2839600,8500.0,299.3379349204113
2014-2019,50,US-born,51795500,547100.0,1056.2693670299543
2014-2019,51,Foreign-born,123089700,1133300.0,920.7106687237031
2014-2019,51,US-born,668940900,20375200.0,3045.8894051776474
2014-2019,53,Foreign-born,132356400,687300.0,519.2797628221982
2014-2019,53,US-born,585602600,10256900.0,1751.5120322211683
2014-2019,54,Foreign-born,3636900,232400.0,6390.057466523688
2014-2019,54,US-born,150112000,5054300.0,3367.0192922617775
2014-2019,55,Foreign-born,38294200,346600.0,905.0978999430723
2014-2019,55,US-born,477992300,13152600.0,2751.6342836485023
2014-2019,56,Foreign-born,2843200,47400.0,1667.1356218345527
2014-2019,56,US-born,52870100,1119900.0,2118.2104819170004
2020-2024,1,Foreign-born,19638500,312300.0,1590.2436540468977
2020-2024,1,US-born,347784900,8629600.0,2481.3038173882765
2020-2024,2,Foreign-born,4629200,79500.0,1717.359370949624
2020-2024,2,US-born,60672300,1068900.0,1761.7594849709012
2020-2024,4,Foreign-born,78668800,1420600.0,1805.7984868206963
2020-2024,4,US-born,509239500,14404800.0,2828.688662211003
2020-2024,5,Foreign-born,16537000,233300.0,1410.775836004112
2020-2024,5,US-born,211816400,6526400.0,3081.1589659724177
2020-2024,6,Foreign-born,758799100,5906200.0,778.3614925215383
2020-2024,6,US-born,2472019600,47359600.0,1915.8262337402177
2020-2024,8,Foreign-born,55615800,551900.0,992.3439022723758
2020-2024,8,US-born,455152900,8917100.0,1959.1438393559615
2020-2024,9,Foreign-born,45370900,211500.0,466.15782362703845
2020-2024,9,US-born,216611300,3289200.0,1518.4803378217111
2020-2024,10,Foreign-born,9683200,79900.0,825.1404494382022
2020-2024,10,US-born,61254800,1487600.0,2428.544375297936
2020-2024,11,Foreign-born,9565700,28600.0,298.98491485202334
2020-2024,11,US-born,57713200,849500.0,1471.933630434632
2020-2024,12,Foreign-born,352985000,2739700.0,776.1519611314928
2020-2024,12,US-born,1182020600,33921300.0,2869.77232038088
2020-2024,13,Foreign-born,107555800,1058700.0,984.3262752915231
2020-2024,13,US-born,732382500,24501600.0,3345.464972196905
2020-2024,15,Foreign-born,15072700,165100.0,1095.357832372435
2020-2024,15,US-born,91530300,854400.0,933.4613783632306
2020-2024,16,Foreign-born,11478800,125100.0,1089.8351744084748
2020-2024,16,US-born,136767500,3061200.0,2238.2510464839966
2020-2024,17,Foreign-born,146125300,618400.0,423.1984468124274
2020-2024,17,US-born,825534800,18017900.0,2182.5730423478212
2020-2024,18,Foreign-born,46145300,248400.0,538.2996751565164
2020-2024,18,US-born,477893700,11845600.0,2478.710223633415
2020-2024,19,Foreign-born,20249300,217900.0,1076.0865807706932
2020-2024,19,US-born,223957000,3778400.0,1687.1095790709824
2020-2024,20,Foreign-born,22105200,159700.0,722.4544451079385
2020-2024,20,US-born,209539800,5007600.0,2389.808523249521
2020-2024,21,Foreign-born,22023300,452900.0,2056.4583872534995
2020-2024,21,US-born,319043700,9509300.0,2980.563477667793
2020-2024,22,Foreign-born,22619900,1387700.0,6134.863549352562
2020-2024,22,US-born,324979300,13455600.0,4140.44833009364
2020-2024,23,Foreign-born,4051800,49200.0,1214.2751369761588
2020-2024,23,US-born,90637900,906300.0,999.912839992983
2020-2024,24,Foreign-born,83731100,401300.0,479.27233727969656
2020-2024,24,US-born,368777100,9409600.0,2551.5684135484553
2020-2024,25,Foreign-born,113273500,424000.0,374.3152634994063
2020-2024,25,US-born,428718900,4619700.0,1077.5592118751938
2020-2024,26,Foreign-born,64854700,270900.0,417.7029575343036
2020-2024,26,US-born,690256200,13673000.0,1980.8587014502732
2020-2024,27,Foreign-born,50737300,575500.0,1134.2739956599978
2020-2024,27,US-born,385786100,4407600.0,1142.498394835895
2020-2024,28,Foreign-born,8035300,1034500.0,12874.44152676316
2020-2024,28,US-born,205464100,7634100.0,3715.539600348674
2020-2024,29,Foreign-born,27013400,186700.0,691.1384720175912
2020-2024,29,US-born,439006100,9123500.0,2078.2171363905877
2020-2024,30,Foreign-born,1757800,30700.0,1746.501308453749
2020-2024,30,US-born,82820000,1468300.0,1772.8809466312484
2020-2024,31,Foreign-born,17953200,146700.0,817.1245237617807
2020-2024,31,US-born,136709700,2498500.0,1827.5952620772339
2020-2024,32,Foreign-born,45998400,329100.0,715.4596681623709
2020-2024,32,US-born,201944900,4272700.0,2115.775144606276
2020-2024,33,Foreign-born,8064600,126700.0,1571.0636609379262
2020-2024,33,US-born,95525200,1064300.0,1114.156264524963
2020-2024,34,Foreign-born,174092700,1007700.0,578.82955459936
2020-2024,34,US-born,497682200,9468900.0,1902.5996911281939
2020-2024,35,Foreign-born,15557600,263300.0,1692.4204247441762
2020-2024,35,US-born,148355800,4375300.0,2949.193762562704
2020-2024,36,Foreign-born,329290900,1898400.0,576.5115282566265
2020-2024,36,US-born,1166109500,17442300.0,1495.7686220719409
2020-2024,37,Foreign-born,89258000,720100.0,806.7624190548746
2020-2024,37,US-born,720824300,13421900.0,1862.021022321251
2020-2024,38,Foreign-born,3940200,40300.0,1022.7907212831835
2020-2024,38,US-born,64687800,832300.0,1286.641375962701
2020-2024,39,Foreign-born,61607600,475100.0,771.1710892811926
2020-2024,39,US-born,816287800,18452600.0,2260.5507518304207
2020-2024,40,Foreign-born,27227000,317800.0,1167.2237117567122
2020-2024,40,US-born,292115800,9816300.0,3360.413918042091
2020-2024,41,Foreign-born,39003000,621100.0,1592.4416070558673
2020-2024,41,US-born,292088400,5406200.0,1850.878021859136
2020-2024,42,Foreign-born,90202800,1027400.0,1138.9890335998439
2020-2024,42,US-born,859316200,21583900.0,2511.752949612727
2020-2024,44,Foreign-born,13842600,213800.0,1544.5075347116872
2020-2024,44,US-born,70180300,623200.0,887.9984839050275
2020-2024,45,Foreign-born,29127000,247600.0,850.0703814330346
2020-2024,45,US-born,355292400,7683300.0,2162.528666529315
2020-2024,46,Foreign-born,3839400,84100.0,2190.4464239204044
2020-2024,46,US-born,66538400,1724800.0,2592.1873684969883
2020-2024,47,Foreign-born,41567200,496500.0,1194.4513943686368
2020-2024,47,US-born,491894700,12080000.0,2455.8101561167464
2020-2024,48,Foreign-born,478998900,7325600.0,1529.3563304633894
2020-2024,48,US-born,1999658200,57314600.0,2866.219836970138
2020-2024,49,Foreign-born,31095400,262600.0,844.4979000109341
2020-2024,49,US-born,267924500,2701400.0,1008.2691205918086
2020-2024,50,Foreign-born,2350900,10600.0,450.89114807095154
2020-2024,50,US-born,45948100,347600.0,756.5057097029039
2020-2024,51,Foreign-born,94122900,908400.0,965.1211341766988
2020-2024,51,US-born,575315100,15116200.0,2627.4644972815763
2020-2024,53,Foreign-born,120012700,786600.0,655.4306335912783
2020-2024,53,US-born,526020900,6927400.0,1316.9438704811919
2020-2024,54,Foreign-born,3047400,194800.0,6392.334449038525
2020-2024,54,US-born,122463700,4571000.0,3732.534620463043
2020-2024,55,Foreign-born,30467300,209600.0,687.9506881147985
2020-2024,55,US-born,411882000,8887500.0,2157.7781986102814
2020-2024,56,Foreign-born,2077400,22400.0,1078.2709155675363
2020-2024,56,US-born,43263100,956000.0,2209.73531716405
