period,STATEFIP,citizenship_group,weighted_denominator,weighted_numerator,uninsured_rate_pct
2014-2019,10,US-born,509922700,27240600.0,5.342103812989694
2014-2019,11,Naturalized citizen,24775000,934700.0,3.7727547931382444
2014-2019,11,Non-citizen / foreign-born unknown,31950600,4597300.0,14.388775171671266
2014-2019,11,US-born,346212000,10657200.0,3.0782295241066167
2014-2019,12,Naturalized citizen,1424225600,176856700.0,12.417744773019106
2014-2019,12,Non-citizen / foreign-born unknown,1142533400,439407200.0,38.45902448015961
2014-2019,12,US-born,9422808800,1061027900.0,11.260208314955939
2014-2019,13,Naturalized citizen,270423800,37385000.0,13.824596799542052
2014-2019,13,Non-citizen / foreign-born unknown,355683000,169487900.0,47.651391829241206
2014-2019,13,US-born,5506600200,677213800.0,12.29821987076527
2014-2019,15,Naturalized citizen,90273200,3133700.0,3.471351408834516
2014-2019,15,Non-citizen / foreign-born unknown,64223500,7447000.0,11.595444035283036
2014-2019,15,US-born,672802200,22989200.0,3.41693294106351
2014-2019,16,Naturalized citizen,23340300,3631200.0,15.55764064729245
2014-2019,16,Non-citizen / foreign-born unknown,35423100,15320100.0,43.248896906256086
2014-2019,16,US-born,953983500,97000300.0,10.167922191526374
2014-2019,17,Naturalized citizen,546753100,44283200.0,8.099304786749267
2014-2019,17,Non-citizen / foreign-born unknown,529014800,178633000.0,33.76710821701018
2014-2019,17,US-born,6512687600,351269200.0,5.393613536752477
2014-2019,18,Naturalized citizen,81010800,8442100.0,10.420956218183255
2014-2019,18,Non-citizen / foreign-born unknown,124283700,41607000.0,33.477439117116724
2014-2019,18,US-born,3761457200,327323600.0,8.702042389316567
2014-2019,19,Naturalized citizen,39241200,2548500.0,6.494449711018012
2014-2019,19,Non-citizen / foreign-born unknown,58033300,13888000.0,23.931087840946493
2014-2019,19,US-born,1772436900,74943500.0,4.22827464266852
2014-2019,20,Naturalized citizen,49927900,5759600.0,11.53583467359933
2014-2019,20,Non-citizen / foreign-born unknown,74914300,31077000.0,41.483401700342924
2014-2019,20,US-born,1605032500,124745400.0,7.772141685604497
2014-2019,21,Naturalized citizen,39208800,3702000.0,9.441757972700007
2014-2019,21,Non-citizen / foreign-born unknown,61386900,20931500.0,34.09766578862917
2014-2019,21,US-born,2547198300,149852900.0,5.8830480532277365
2014-2019,22,Naturalized citizen,46490200,6408400.0,13.784410477907173
2014-2019,22,Non-citizen / foreign-born unknown,66750000,33513400.0,50.207340823970036
2014-2019,22,US-born,2666747200,266446600.0,9.991445758338099
2014-2019,23,Naturalized citizen,16179300,1005600.0,6.215349242550667
2014-2019,23,Non-citizen / foreign-born unknown,12665000,1676400.0,13.236478484011055
2014-2019,23,US-born,763610700,63425700.0,8.306025570359346
2014-2019,24,Naturalized citizen,281168800,18101300.0,6.437876464244965
2014-2019,24,Non-citizen / foreign-born unknown,266233200,87883700.0,33.01004532868177
2014-2019,24,US-born,3012127000,131161700.0,4.354454510052199
2014-2019,25,Naturalized citizen,360159700,10653400.0,2.9579655913751597
2014-2019,25,Non-citizen / foreign-born unknown,321681500,33100100.0,10.289712028823542
2014-2019,25,US-born,3299207500,71418500.0,2.1647168297235018
2014-2019,26,Naturalized citizen,213056100,13659500.0,6.411222208610784
2014-2019,26,Non-citizen / foreign-born unknown,191402900,37615700.0,19.652628042730804
2014-2019,26,US-born,5520414800,317494000.0,5.751270719729249
2014-2019,27,Naturalized citizen,148131300,8655100.0,5.842856978909927
2014-2019,27,Non-citizen / foreign-born unknown,130378700,30629800.0,23.492947851144397
2014-2019,27,US-born,3026530400,120197100.0,3.971448626453579
2014-2019,28,Naturalized citizen,15432700,2610100.0,16.912789077737532
2014-2019,28,Non-citizen / foreign-born unknown,23747000,12672900.0,53.366319956205
2014-2019,28,US-born,1740828400,223973800.0,12.865932104508405
2014-2019,29,Naturalized citizen,73616000,8768400.0,11.910997609215388
2014-2019,29,Non-citizen / foreign-born unknown,75960900,22406000.0,29.49675425120029
2014-2019,29,US-born,3484049000,334189700.0,9.59199196107747
2014-2019,30,Naturalized citizen,7170800,560400.0,7.815027611981927
2014-2019,30,Non-citizen / foreign-born unknown,6517000,1250000.0,19.18060457265613
2014-2019,30,US-born,608877300,59994300.0,9.853266002854761
2014-2019,31,Naturalized citizen,31317400,4447100.0,14.200093238902337
2014-2019,31,Non-citizen / foreign-born unknown,50200900,17876000.0,35.60892334599579
2014-2019,31,US-born,1056698300,74808500.0,7.079456832664537
2014-2019,32,Naturalized citizen,169610400,15007500.0,8.84821921297279
2014-2019,32,Non-citizen / foreign-born unknown,179801300,74421800.0,41.391135659197126
2014-2019,32,US-born,1398118500,126197000.0,9.026201999329814
2014-2019,33,Naturalized citizen,26659600,1598700.0,5.99671412924425
2014-2019,33,Non-citizen / foreign-born unknown,21531500,4511600.0,20.953486751968047
2014-2019,33,US-born,746513900,46775000.0,6.265790898200288
2014-2019,34,Naturalized citizen,681281200,57810100.0,8.485497618310912
2014-2019,34,Non-citizen / foreign-born unknown,527983200,189713400.0,35.93171146354657
2014-2019,34,US-born,4026755400,199380500.0,4.95139337244075
2014-2019,35,Naturalized citizen,48089400,5819600.0,12.101627385660873
2014-2019,35,Non-citizen / foreign-born unknown,71416100,31655200.0,44.3250191483433
2014-2019,35,US-born,1119004000,96713700.0,8.64283773784544
2014-2019,36,Naturalized citizen,1517389000,85585300.0,5.640300542576755
2014-2019,36,Non-citizen / foreign-born unknown,1168449800,282640000.0,24.189314765597974
2014-2019,36,US-born,8826424200,375839600.0,4.25811848018816
2014-2019,37,Naturalized citizen,187969100,23963100.0,12.748425140089514
2014-2019,37,Non-citizen / foreign-born unknown,297099000,144318600.0,48.57592923570931
2014-2019,37,US-born,5569606400,517850700.0,9.297797057975227
2014-2019,38,Naturalized citizen,7469800,1002200.0,13.416691209938685
2014-2019,38,Non-citizen / foreign-born unknown,9839600,2409500.0,24.48778405626245
2014-2019,38,US-born,432362200,31578600.0,7.303737468261565
2014-2019,39,Naturalized citizen,162010100,12000600.0,7.407315963634366
2014-2019,39,Non-citizen / foreign-born unknown,149208900,37481000.0,25.11981523890331
2014-2019,39,US-born,6615417100,424804900.0,6.421437886357914
2014-2019,40,Naturalized citizen,48651800,6449600.0,13.25665237462951
2014-2019,40,Non-citizen / foreign-born unknown,88448400,41805400.0,47.265298185156546
2014-2019,40,US-born,2194505200,293507300.0,13.374645911069155
2014-2019,41,Naturalized citizen,110139500,7460400.0,6.773591672379118
2014-2019,41,Non-citizen / foreign-born unknown,132428800,38825500.0,29.318018437077132
2014-2019,41,US-born,2192855300,137236000.0,6.258324477679854
2014-2019,42,Naturalized citizen,277968100,19334400.0,6.955618288573401
2014-2019,42,Non-citizen / foreign-born unknown,241810000,61814500.0,25.563252140110006
2014-2019,42,US-born,7018859800,414085700.0,5.899614920360712
2014-2019,44,Naturalized citizen,47745900,2590500.0,5.425596752810189
2014-2019,44,Non-citizen / foreign-born unknown,38143600,8251000.0,21.631413920028525
2014-2019,44,US-born,533138500,18767900.0,3.520267247628899
2014-2019,45,Naturalized citizen,61204400,7550700.0,12.336858134382496
2014-2019,45,Non-citizen / foreign-born unknown,87183800,42426300.0,48.663054374780636
2014-2019,45,US-born,2813337600,287403300.0,10.215741615936885
2014-2019,46,Naturalized citizen,7662400,724300.0,9.452651910628523
2014-2019,46,Non-citizen / foreign-born unknown,10095000,2679000.0,26.537890044576525
2014-2019,46,US-born,500356200,47376700.0,9.468594573226035
2014-2019,47,Naturalized citizen,78711300,10941700.0,13.901053597132812
2014-2019,47,Non-citizen / foreign-born unknown,126762700,62204600.0,49.071690647169866
2014-2019,47,US-born,3773052800,344363400.0,9.12691706832197
2014-2019,48,Naturalized citizen,1059541500,182343000.0,17.209613781055296
2014-2019,48,Non-citizen / foreign-born unknown,1797008500,900248700.0,50.09707522251564
2014-2019,48,US-born,13718579900,1939736500.0,14.139484656134124
2014-2019,49,Naturalized citizen,61475500,7569700.0,12.31336060707111
2014-2019,49,Non-citizen / foreign-born unknown,94066600,40216200.0,42.75290060446535
2014-2019,49,US-born,1671788800,136173000.0,8.145347067763584
2014-2019,50,Naturalized citizen,9253500,378800.0,4.093586210623008
2014-2019,50,Non-citizen / foreign-born unknown,7100300,886200.0,12.481162767770376
2014-2019,50,US-born,355180100,14138300.0,3.9806002644855383
2014-2019,51,Naturalized citizen,324531700,28612000.0,8.816396056225017
2014-2019,51,Non-citizen / foreign-born unknown,300991700,108445700.0,36.029465264324564
2014-2019,51,US-born,4341653100,322206400.0,7.42128384232264
2014-2019,53,Naturalized citizen,296513300,18433100.0,6.216618276482033
2014-2019,53,Non-citizen / foreign-born unknown,327140200,88247600.0,26.975468010351527
2014-2019,53,US-born,3705307400,190007600.0,5.127984792840669
2014-2019,54,Naturalized citizen,8797300,664500.0,7.553453900628602
2014-2019,54,Non-citizen / foreign-born unknown,8653300,1775200.0,20.51471692880173
2014-2019,54,US-born,1070088900,71191100.0,6.6528210880423115
2014-2019,55,Naturalized citizen,80207300,6098700.0,7.6036719849689485
2014-2019,55,Non-citizen / foreign-born unknown,93517800,29441000.0,31.481707225790174
2014-2019,55,US-born,3270017500,171588400.0,5.247323599950153
2014-2019,56,Naturalized citizen,4496200,540900.0,12.030158800765092
2014-2019,56,Non-citizen / foreign-born unknown,7308200,3134000.0,42.88333652609398
2014-2019,56,US-born,334646900,36635100.0,10.947389621717697
2020-2024,1,Naturalized citizen,39711100,4070600.0,10.250534485320225
2020-2024,1,Non-citizen / foreign-born unknown,55496100,25111900.0,45.24984638560187
2020-2024,1,US-born,2411416700,206010100.0,8.543114924931887
2020-2024,2,Naturalized citizen,17562700,1837300.0,10.461375528819602
2020-2024,2,Non-citizen / foreign-born unknown,11119700,2082000.0,18.723526713850195
2020-2024,2,US-born,329846200,34733800.0,10.530301698185397
2020-2024,4,Naturalized citizen,235422000,25392200.0,10.785822905250996
2020-2024,4,Non-citizen / foreign-born unknown,244841600,88754500.0,36.24976311215088
2020-2024,4,US-born,3173148600,281823200.0,8.88150022346889
2020-2024,5,Naturalized citizen,27758000,3170600.0,11.422292672382737
2020-2024,5,Non-citizen / foreign-born unknown,50981700,23138200.0,45.38530492313909
2020-2024,5,US-born,1435617300,118476400.0,8.252645046838039
2020-2024,6,Naturalized citizen,2876979300,134329300.0,4.669109020005809
2020-2024,6,Non-citizen / foreign-born unknown,2391090500,492485700.0,20.596698452024295
2020-2024,6,US-born,14023752800,664878700.0,4.741089703178454
2020-2024,8,Naturalized citizen,136797100,12565200.0,9.18528243654288
2020-2024,8,Non-citizen / foreign-born unknown,147026300,54005600.0,36.731931634000176
2020-2024,8,US-born,2596290400,157926300.0,6.082767166569656
2020-2024,9,Naturalized citizen,155199400,8882300.0,5.723153568892663
2020-2024,9,Non-citizen / foreign-born unknown,126034100,37477000.0,29.735603301011395
2020-2024,9,US-born,1459760900,44775100.0,3.067289992491236
2020-2024,10,Naturalized citizen,27751300,1886100.0,6.796438365049565
2020-2024,10,Non-citizen / foreign-born unknown,23970800,7735000.0,32.268426585679244
2020-2024,10,US-born,448217000,22695800.0,5.063574117001363
2020-2024,11,Naturalized citizen,23398300,665000.0,2.8420868182731223
2020-2024,11,Non-citizen / foreign-born unknown,24452900,3327900.0,13.609428738513632
2020-2024,11,US-born,287621700,8156300.0,2.83577351778395
2020-2024,12,Naturalized citizen,1405087400,137494100.0,9.785448221939788
2020-2024,12,Non-citizen / foreign-born unknown,1019636500,313112700.0,30.708267112838744
2020-2024,12,US-born,8313949100,814884600.0,9.801414348326958
2020-2024,13,Naturalized citizen,293083500,32801900.0,11.191998184817638
2020-2024,13,Non-citizen / foreign-born unknown,303187700,121737400.0,40.15248639704051
2020-2024,13,US-born,4784192800,528188100.0,11.040276219637303
2020-2024,15,Naturalized citizen,79261600,2412200.0,3.043340028462711
2020-2024,15,Non-citizen / foreign-born unknown,49079000,4080000.0,8.313127814340145
2020-2024,15,US-born,567202700,17248400.0,3.040958726042736
2020-2024,16,Naturalized citizen,26641700,2855800.0,10.719285931453323
