YEAR,STATEFIP,citizenship_group,weighted_denominator,weighted_numerator,uninsured_rate_pct
2009,27,US-born,488013500,39056700.0,8.003200731127315
2009,28,Naturalized citizen,1767100,443400.0,25.09195857619829
2009,28,Non-citizen / foreign-born unknown,4016700,1971100.0,49.07262180396843
2009,28,US-born,287710600,50214600.0,17.453163004769376
2009,29,Naturalized citizen,9393900,1534200.0,16.331874940120716
2009,29,Non-citizen / foreign-born unknown,11795900,4878100.0,41.3541993404488
2009,29,US-born,573789700,74270600.0,12.94387124760169
2009,30,Naturalized citizen,1027200,212400.0,20.677570093457945
2009,30,Non-citizen / foreign-born unknown,964300,320400.0,33.22617442704552
2009,30,US-born,94734600,17753200.0,18.73993240062237
2009,31,Naturalized citizen,3191800,344600.0,10.796415815527288
2009,31,Non-citizen / foreign-born unknown,7103300,3647200.0,51.34514943758535
2009,31,US-born,168027300,16249000.0,9.670452361015144
2009,32,Naturalized citizen,19960400,3398100.0,17.024207931704776
2009,32,Non-citizen / foreign-born unknown,30540500,16548300.0,54.18477104173147
2009,32,US-born,210011900,37283400.0,17.752993997006836
2009,33,Naturalized citizen,3412400,403700.0,11.830383307935763
2009,33,Non-citizen / foreign-born unknown,3758800,1018500.0,27.096413749068855
2009,33,US-born,123817200,12290800.0,9.926569168096194
2009,34,Naturalized citizen,88281600,10839100.0,12.277869907206032
2009,34,Non-citizen / foreign-born unknown,87268700,39175800.0,44.891009033021
2009,34,US-born,673657600,56570400.0,8.397500451267826
2009,35,Naturalized citizen,6418200,1392700.0,21.699230313795145
2009,35,Non-citizen / foreign-born unknown,13669800,8829500.0,64.59128882646418
2009,35,US-born,178305200,30481700.0,17.095238949845545
2009,36,Naturalized citizen,216119900,23033000.0,10.657510021057757
2009,36,Non-citizen / foreign-born unknown,199984800,75344700.0,37.67521331621203
2009,36,US-born,1491249200,123395200.0,8.274619694682821
2009,37,Naturalized citizen,20417100,3835500.0,18.785723731577942
2009,37,Non-citizen / foreign-born unknown,46647600,28797700.0,61.734580128452485
2009,37,US-born,861142100,116073400.0,13.479006542590358
2009,38,Naturalized citizen,592000,123000.0,20.777027027027025
2009,38,Non-citizen / foreign-born unknown,1123000,156100.0,13.90026714158504
2009,38,US-born,62541600,6104400.0,9.760543382324725
2009,39,Naturalized citizen,20748100,2436100.0,11.741316072315055
2009,39,Non-citizen / foreign-born unknown,22143800,7460300.0,33.69024286707792
