period,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,uninsured_rate_pct
2014-2019,44,Foreign-born,85897000,10841500.0,12.62151181065695
2014-2019,44,US-born,533138500,18767900.0,3.520267247628899
2014-2019,45,Foreign-born,148520100,50000300.0,33.66567892157358
2014-2019,45,US-born,2813337600,287403300.0,10.215741615936885
2014-2019,46,Foreign-born,17801700,3403300.0,19.117837060505458
2014-2019,46,US-born,500356200,47376700.0,9.468594573226035
2014-2019,47,Foreign-born,205477200,73146300.0,35.59825615688748
2014-2019,47,US-born,3773052800,344363400.0,9.12691706832197
2014-2019,48,Foreign-born,2856961000,1082634900.0,37.89463349342186
2014-2019,48,US-born,13718579900,1939736500.0,14.139484656134124
2014-2019,49,Foreign-born,154180000,47549700.0,30.840381372421845
2014-2019,49,US-born,1671788800,136173000.0,8.145347067763584
2014-2019,50,Foreign-born,16359900,1265000.0,7.7323211022072265
2014-2019,50,US-born,355180100,14138300.0,3.9806002644855383
2014-2019,51,Foreign-born,625644000,137057700.0,21.906659378176727
2014-2019,51,US-born,4341653100,322206400.0,7.42128384232264
2014-2019,53,Foreign-born,623716600,106667300.0,17.101885696163933
2014-2019,53,US-born,3705307400,190007600.0,5.127984792840669
2014-2019,54,Foreign-born,17443600,2439700.0,13.986218441147468
2014-2019,54,US-born,1070088900,71191100.0,6.6528210880423115
2014-2019,55,Foreign-born,173708700,35539700.0,20.459366744440548
2014-2019,55,US-born,3270017500,171588400.0,5.247323599950153
2014-2019,56,Foreign-born,11815900,3674900.0,31.1013126380555
2014-2019,56,US-born,334646900,36635100.0,10.947389621717697
2020-2024,1,Foreign-born,95127600,29182500.0,30.677216706823256
2020-2024,1,US-born,2411416700,206010100.0,8.543114924931887
2020-2024,2,Foreign-born,27652200,3866900.0,13.984059134535407
2020-2024,2,US-born,329846200,34733800.0,10.530301698185397
2020-2024,4,Foreign-born,480339600,114176700.0,23.769995228375922
2020-2024,4,US-born,3173148600,281823200.0,8.88150022346889
2020-2024,5,Foreign-born,78772300,26308800.0,33.39854238101464
2020-2024,5,US-born,1435617300,118476400.0,8.252645046838039
2020-2024,6,Foreign-born,5265012100,626490700.0,11.899131247960474
2020-2024,6,US-born,14023752800,664878700.0,4.741089703178454
2020-2024,8,Foreign-born,283930100,66570800.0,23.446193270808553
2020-2024,8,US-born,2596290400,157926300.0,6.082767166569656
2020-2024,9,Foreign-born,281230000,46352300.0,16.48198983038794
2020-2024,9,US-born,1459760900,44775100.0,3.067289992491236
2020-2024,10,Foreign-born,51722100,9621100.0,18.60152623346693
2020-2024,10,US-born,448217000,22695800.0,5.063574117001363
2020-2024,11,Foreign-born,47851200,3992900.0,8.344409335607049
2020-2024,11,US-born,287621700,8156300.0,2.83577351778395
2020-2024,12,Foreign-born,2424948800,450647900.0,18.583810924172912
2020-2024,12,US-born,8313949100,814884600.0,9.801414348326958
2020-2024,13,Foreign-born,596376600,154524000.0,25.910473348551903
2020-2024,13,US-born,4784192800,528188100.0,11.040276219637303
2020-2024,15,Foreign-born,126147100,6276900.0,4.975857550431203
2020-2024,15,US-born,567202700,17248400.0,3.040958726042736
2020-2024,16,Foreign-born,57063300,14119000.0,24.742698021320184
2020-2024,16,US-born,898222300,70505500.0,7.849448850245647
2020-2024,17,Foreign-born,915423500,163771700.0,17.890266089957272
2020-2024,17,US-born,5313326900,259248600.0,4.879214188759965
2020-2024,18,Foreign-born,207969200,38961200.0,18.734120244728548
2020-2024,18,US-born,3182675600,207326100.0,6.514207731381734
2020-2024,19,Foreign-born,92039600,17021700.0,18.49388741367846
2020-2024,19,US-born,1497468500,63784000.0,4.259455207238083
2020-2024,20,Foreign-born,105744300,28593900.0,27.04060644403528
2020-2024,20,US-born,1347706200,99988300.0,7.419146695325732
2020-2024,21,Foreign-born,96099100,21653700.0,22.532677205093492
2020-2024,21,US-born,2146690700,115474000.0,5.379163379242292
2020-2024,22,Foreign-born,103093300,36423500.0,35.33061799360385
2020-2024,22,US-born,2183232900,147353900.0,6.749344057612909
2020-2024,23,Foreign-born,27829600,2367600.0,8.507488429585765
2020-2024,23,US-born,654240700,40039200.0,6.119949431455426
2020-2024,24,Foreign-born,504257200,91777200.0,18.20047388515226
2020-2024,24,US-born,2524417500,98166200.0,3.8886673856444114
2020-2024,25,Foreign-born,627493600,33294800.0,5.305998340062752
2020-2024,25,US-born,2770567100,54834300.0,1.9791724228588436
2020-2024,26,Foreign-born,358936700,34387800.0,9.580463630495293
2020-2024,26,US-born,4626710700,218242600.0,4.7170141846128395
2020-2024,27,Foreign-born,241899600,30680000.0,12.682947801484584
2020-2024,27,US-born,2591767900,101328500.0,3.909628636113596
2020-2024,28,Foreign-born,34216700,12093800.0,35.34472932807664
2020-2024,28,US-born,1428612700,157604100.0,11.031968286436204
