YEAR,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,brain_waste_rate_pct
2010,6,US-born,283184300,92886400.0,32.80068845624563
2010,8,Foreign-born,5233000,2073200.0,39.61781005159564
2010,8,US-born,67930800,24480300.0,36.0371142397852
2010,9,Foreign-born,7529600,2599300.0,34.52109009774756
2010,9,US-born,43939700,14273400.0,32.484063386868826
2010,10,Foreign-born,1468300,442700.0,30.150514200095348
2010,10,US-born,8618500,2649600.0,30.743168764866276
2010,11,Foreign-born,1923900,467700.0,24.309995322002184
2010,11,US-born,9639200,2195400.0,22.775749024815337
2010,12,Foreign-born,42498800,19098700.0,44.93938652385479
2010,12,US-born,132032100,47704700.0,36.131137806639444
2010,13,Foreign-born,13294200,4768400.0,35.868273382377275
2010,13,US-born,90658600,32390000.0,35.72744339753757
2010,15,Foreign-born,3235700,1713600.0,52.95917421268969
2010,15,US-born,13262100,5234900.0,39.472632539341426
2010,16,Foreign-born,734900,201400.0,27.405089127772484
2010,16,US-born,13309200,4490200.0,33.73756499263667
2010,17,Foreign-born,25324900,9524300.0,37.60844070460298
2010,17,US-born,138099700,48328400.0,34.995296876097484
2010,18,Foreign-born,4119200,1163200.0,28.2384929112449
2010,18,US-born,57964800,20148900.0,34.76057883405101
2010,19,Foreign-born,1974700,475600.0,24.084671089279382
2010,19,US-born,32038700,11094200.0,34.62749737036771
2010,20,Foreign-born,2201600,790000.0,35.88299418604651
2010,20,US-born,33167300,12017200.0,36.232071950384864
2010,21,Foreign-born,2226500,712700.0,32.0098809791152
2010,21,US-born,35827700,12814900.0,35.76813471141044
2010,22,Foreign-born,2560900,889000.0,34.71435823343356
2010,22,US-born,36885700,12938100.0,35.07619483973464
2010,23,Foreign-born,860900,258100.0,29.98025322337089
2010,23,US-born,14446000,5460300.0,37.798006368544925
2010,24,Foreign-born,16562800,5053800.0,30.512956746443837
2010,24,US-born,66853700,19644500.0,29.384312311809218
2010,25,Foreign-born,15971000,4758600.0,29.795253897689562
2010,25,US-born,89182300,29650300.0,33.24684382439116
2010,26,Foreign-born,9939800,2490200.0,25.052817964144147
2010,26,US-born,90773400,31460900.0,34.65872160787191
2010,27,Foreign-born,5826100,1957100.0,33.59193971953794
2010,27,US-born,67532600,23174100.0,34.31542691973951
2010,28,Foreign-born,771500,278300.0,36.07258587167855
2010,28,US-born,21956200,7670600.0,34.93591787285596
2010,29,Foreign-born,3713500,1199100.0,32.290292177191326
2010,29,US-born,60879200,21485500.0,35.29202092011722
2010,30,Foreign-born,171200,31900.0,18.63317757009346
2010,30,US-born,12081200,4504100.0,37.281892527232394
2010,31,Foreign-born,1046900,376600.0,35.972872289616966
2010,31,US-born,21440000,7631500.0,35.5946828358209
2010,32,Foreign-born,4980300,2543000.0,51.061181053350204
2010,32,US-born,17014200,6525400.0,38.35267012260347
2010,33,Foreign-born,1361100,393900.0,28.939828080229223
2010,33,US-born,17633100,6431200.0,36.472316268835314
2010,34,Foreign-born,34048300,11856000.0,34.821121759383
2010,34,US-born,93121100,31540100.0,33.86998220596621
2010,35,Foreign-born,1566600,533800.0,34.07379037405847
2010,35,US-born,16543300,5158500.0,31.181807740898126
2010,36,Foreign-born,61881700,23421900.0,37.8494773091237
2010,36,US-born,195955700,65649500.0,33.5022150414609
2010,37,Foreign-born,8149600,2802000.0,34.382055561009125
2010,37,US-born,92132700,34033100.0,36.939219191448856
2010,38,Foreign-born,309300,103200.0,33.365664403491756
