YEAR,STATEFIP,nativity_group,weighted_population,weighted_mean_income
2012,50,Foreign-born,2626900,30357.55921410917
2012,50,US-born,59326900,34029.253319130825
2012,51,Foreign-born,94840500,37949.3844033609
2012,51,US-born,710134700,40177.05430530577
2012,53,Foreign-born,91276700,33298.02644137693
2012,53,US-born,585650500,37408.450350282714
2012,54,Foreign-born,2560700,45249.658879090566
2012,54,US-born,182064600,27039.535224726835
2012,55,Foreign-born,26577500,30122.190128764152
2012,55,US-born,541943500,32929.40835236987
2012,56,Foreign-born,1840300,21832.819846497856
2012,56,US-born,55333000,34475.12446030427
2013,1,Foreign-born,15743700,28485.954623310583
2013,1,US-born,463848300,28879.367654657006
2013,2,Foreign-born,4431200,36032.83709449929
2013,2,US-born,67829100,42465.85066285542
2013,4,Foreign-born,88578900,24573.488754200207
2013,4,US-born,566028600,32745.295176728847
2013,5,Foreign-born,13516100,24374.652166700896
2013,5,US-born,280367600,27705.971995407737
2013,6,Foreign-born,1031928900,31680.0838142032
2013,6,US-born,2754966500,39061.66738974876
2013,8,Foreign-born,50434400,30183.55804977979
2013,8,US-born,468882200,39945.34191513595
2013,9,Foreign-born,49744400,40513.18793159558
2013,9,US-born,297899400,47582.876463959874
2013,10,Foreign-born,7571000,36517.9653135434
2013,10,US-born,83686700,35243.10812855347
2013,11,Foreign-born,9600600,42993.955846118464
2013,11,US-born,53789900,54816.39055400522
2013,12,Foreign-born,379830100,26786.592561129757
2013,12,US-born,1507651400,32392.95696957393
2013,13,Foreign-born,97399000,29059.18273820084
2013,13,US-born,889258100,31658.7359346893
2013,15,Foreign-born,24217800,29568.326411820675
2013,15,US-born,111948400,38068.02703500599
2013,16,Foreign-born,9886200,22731.557762185872
2013,16,US-born,149931700,28955.92591089811
2013,17,Foreign-born,180249700,32382.483548209086
2013,17,US-born,1095019200,38031.20282091244
2013,18,Foreign-born,31430900,28364.288067412795
2013,18,US-born,621435500,30756.993693450233
2013,19,Foreign-born,15689100,27103.070737108952
2013,19,US-born,291702600,33971.4814673267
2013,20,Foreign-born,19681600,25730.943051618397
2013,20,US-born,267392200,34841.46287568114
2013,21,Foreign-born,15374100,30900.66139582834
2013,21,US-born,420898200,29184.726384398513
2013,22,Foreign-born,17870400,29787.391009250536
2013,22,US-born,441427200,30616.14518755854
2013,23,Foreign-born,4295300,31505.14583816369
2013,23,US-born,127042200,31644.50246756101
2013,24,Foreign-born,83619200,40837.18973559866
2013,24,US-born,500930400,44766.54386155259
2013,25,Foreign-born,105228800,38325.13823270785
2013,25,US-born,546970800,44450.99141704526
2013,26,Foreign-born,61616600,34796.742455924985
2013,26,US-born,920907100,31306.103415406506
2013,27,Foreign-born,39687000,32104.597565030635
2013,27,US-born,498293700,39677.582703395165
2013,28,Foreign-born,6403900,26187.969461067863
2013,28,US-born,290888800,25088.06067553702
2013,29,Foreign-born,22793100,30815.244103259323
2013,29,US-born,577910400,31348.06963577329
2013,30,Foreign-born,1779100,32096.537701082187
2013,30,US-born,98702400,31697.00112643169
2013,31,Foreign-born,11306000,23418.203428098364
2013,31,US-born,174147400,35018.63653749541
2013,32,Foreign-born,52667800,26800.525853017603
2013,32,US-born,221842500,33372.78609724972
2013,33,Foreign-born,7510100,39332.862380327686
2013,33,US-born,123377500,39502.92430390181
2013,34,Foreign-born,191452300,40311.892604663284
2013,34,US-born,676969400,45203.27181667012
2013,35,Foreign-born,21942900,22102.29402058691
2013,35,US-born,184128200,29764.810162184658
2013,36,Foreign-born,439364700,34315.72316691578
2013,36,US-born,1479165200,41376.13364285051
2013,37,Foreign-born,74863800,27960.772962820483
2013,37,US-born,898969800,31593.233240138892
2013,38,Foreign-born,1927200,22396.529841063897
2013,38,US-born,69910700,37883.066688870305
2013,39,Foreign-born,47287800,35129.69043164566
2013,39,US-born,1100804300,32178.5000360671
2013,40,Foreign-born,22106900,24438.666905461007
2013,40,US-born,359735300,31060.904471531707
2013,41,Foreign-born,40552300,28018.21978984695
2013,41,US-born,348298000,33622.6868930572
2013,42,Foreign-born,81151700,33957.196045632336
2013,42,US-born,1174253300,34816.53485407247
2013,44,Foreign-born,13751900,28003.661077305514
2013,44,US-born,89026100,38180.786020625215
2013,45,Foreign-born,23040200,27800.320310320065
2013,45,US-born,449275900,29168.145218741134
2013,46,Foreign-born,2314700,23614.635497230676
2013,46,US-born,81780500,32276.170581715913
2013,47,Foreign-born,30129500,26930.095771544005
2013,47,US-born,614011100,30454.440664442616
2013,48,Foreign-born,435877100,27169.239820248393
2013,48,US-born,2173214300,35266.1171844866
2013,49,Foreign-born,23911900,27013.126102065486
2013,49,US-born,263059300,33339.40025410067
2013,50,Foreign-born,2707600,33558.43637679412
2013,50,US-born,59364800,33579.11975660358
2013,51,Foreign-born,95063300,38049.88278287593
2013,51,US-born,716941800,40887.001653370084
2013,53,Foreign-born,94379500,34695.88848080319
2013,53,US-born,590974400,38564.636824482586
2013,54,Foreign-born,2825400,32205.510511104952
2013,54,US-born,181517300,27604.119929651824
2013,55,Foreign-born,27603800,28581.402758924603
2013,55,US-born,542315800,34056.56135053974
2013,56,Foreign-born,1842600,31656.960268948656
2013,56,US-born,56037500,36582.89345076306
2014,1,Foreign-born,15278900,27426.410678831264
2014,1,US-born,465522300,29032.98534439447
