YEAR,country,country_key,iso3,is_aggregate,sex,age,comparison_group,comparison_label,reporting_country_rate_pct,comparison_rate_pct,employment_rate_gap_pp
2015,Austria,AUT,AUT,0,Total,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,73.1,72.4,-0.6999999999999886
2015,Austria,AUT,AUT,0,Total,From 15 to 39 years,foreign_country,Foreign-country citizens,73.1,63.6,-9.499999999999993
2015,Austria,AUT,AUT,0,Total,From 15 to 39 years,non_eu,Non-EU27 citizens,73.1,54.7,-18.39999999999999
2015,Austria,AUT,AUT,0,Total,From 15 to 59 years,eu27_total,EU27 citizens,77.3,77.0,-0.29999999999999716
2015,Austria,AUT,AUT,0,Total,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,77.3,74.5,-2.799999999999997
2015,Austria,AUT,AUT,0,Total,From 15 to 59 years,foreign_country,Foreign-country citizens,77.3,65.7,-11.599999999999994
2015,Austria,AUT,AUT,0,Total,From 15 to 59 years,non_eu,Non-EU27 citizens,77.3,56.4,-20.9
2015,Austria,AUT,AUT,0,Total,From 15 to 64 years,eu27_total,EU27 citizens,72.5,72.5,0.0
2015,Austria,AUT,AUT,0,Total,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,72.5,72.5,0.0
2015,Austria,AUT,AUT,0,Total,From 15 to 64 years,foreign_country,Foreign-country citizens,72.5,63.5,-9.0
2015,Austria,AUT,AUT,0,Total,From 15 to 64 years,non_eu,Non-EU27 citizens,72.5,54.1,-18.4
2016,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,51.1,50.6,-0.5
2016,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,51.1,45.4,-5.700000000000003
2016,Austria,AUT,AUT,0,Females,From 15 to 24 years,foreign_country,Foreign-country citizens,51.1,38.3,-12.800000000000004
2016,Austria,AUT,AUT,0,Females,From 15 to 24 years,non_eu,Non-EU27 citizens,51.1,31.6,-19.5
2016,Austria,AUT,AUT,0,Females,From 15 to 29 years,eu27_total,EU27 citizens,63.0,62.6,-0.3999999999999986
2016,Austria,AUT,AUT,0,Females,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,63.0,59.6,-3.3999999999999986
2016,Austria,AUT,AUT,0,Females,From 15 to 29 years,foreign_country,Foreign-country citizens,63.0,50.4,-12.600000000000001
2016,Austria,AUT,AUT,0,Females,From 15 to 29 years,non_eu,Non-EU27 citizens,63.0,41.5,-21.5
2016,Austria,AUT,AUT,0,Females,From 15 to 39 years,eu27_total,EU27 citizens,72.1,71.6,-0.5
2016,Austria,AUT,AUT,0,Females,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,72.1,68.3,-3.799999999999997
2016,Austria,AUT,AUT,0,Females,From 15 to 39 years,foreign_country,Foreign-country citizens,72.1,56.6,-15.499999999999993
2016,Austria,AUT,AUT,0,Females,From 15 to 39 years,non_eu,Non-EU27 citizens,72.1,45.0,-27.099999999999994
2016,Austria,AUT,AUT,0,Females,From 15 to 59 years,eu27_total,EU27 citizens,75.4,75.0,-0.4000000000000057
2016,Austria,AUT,AUT,0,Females,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,75.4,71.1,-4.300000000000011
2016,Austria,AUT,AUT,0,Females,From 15 to 59 years,foreign_country,Foreign-country citizens,75.4,59.0,-16.400000000000006
