period,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,brain_waste_rate_pct
2020-2024,27,US-born,407308500,121660000.0,29.869251439633594
2020-2024,28,Foreign-born,5078400,1856100.0,36.54891304347826
2020-2024,28,US-born,133115100,45446800.0,34.140980249423244
2020-2024,29,Foreign-born,29363800,6804300.0,23.17240956551945
2020-2024,29,US-born,373201500,115281400.0,30.889854408409402
2020-2024,30,Foreign-born,2263600,889900.0,39.31348294751723
2020-2024,30,US-born,70085900,24107800.0,34.39750363482526
2020-2024,31,Foreign-born,10233800,3426000.0,33.4773007094139
2020-2024,31,US-born,126448300,39584900.0,31.3052053685182
2020-2024,32,Foreign-born,36700900,16126700.0,43.94088428349169
2020-2024,32,US-born,125694200,45796200.0,36.434616712624766
2020-2024,33,Foreign-born,10762600,2679500.0,24.896400498020924
2020-2024,33,US-born,103553000,32143600.0,31.040723107973694
2020-2024,34,Foreign-born,239818900,69064500.0,28.79860594807165
2020-2024,34,US-born,571727900,173430600.0,30.33446504884579
2020-2024,35,Foreign-born,11212000,2742200.0,24.457723867285054
2020-2024,35,US-born,96055300,28323100.0,29.486243861608884
2020-2024,36,Foreign-born,394434900,134132500.0,34.006245390557474
2020-2024,36,US-born,1178463400,352621700.0,29.922159652985403
2020-2024,37,Foreign-born,89445100,23508300.0,26.282378799956625
2020-2024,37,US-born,650006700,211892200.0,32.59846398506354
2020-2024,38,Foreign-born,3850400,1039800.0,27.004986494909623
2020-2024,38,US-born,47950100,16584000.0,34.585954982367085
2020-2024,39,Foreign-born,64010000,16538500.0,25.837369161068587
2020-2024,39,US-born,682445800,209004300.0,30.62577277199156
2020-2024,40,Foreign-born,16041900,5151600.0,32.11340302582612
2020-2024,40,US-born,193159100,64921900.0,33.61058319281877
2020-2024,41,Foreign-born,35637100,9819900.0,27.555272454829378
2020-2024,41,US-born,260127800,82313100.0,31.64333070129375
2020-2024,42,Foreign-born,104503100,28593400.0,27.361293588419866
2020-2024,42,US-born,814952800,247018300.0,30.31074928511197
2020-2024,44,Foreign-born,10681800,3655800.0,34.22456889288322
2020-2024,44,US-born,72525700,21964700.0,30.28540227808901
2020-2024,45,Foreign-born,25885000,8002600.0,30.91597450260769
2020-2024,45,US-born,291681600,99809200.0,34.21854515334529
2020-2024,46,Foreign-born,3359700,1434900.0,42.70917046164836
2020-2024,46,US-born,54035100,17564800.0,32.506278326495185
2020-2024,47,Foreign-born,33471200,10840300.0,32.38694758478931
2020-2024,47,US-born,399520400,132217000.0,33.09392962161632
2020-2024,48,Foreign-born,422477800,124418000.0,29.449594747937052
2020-2024,48,US-born,1489535300,453315100.0,30.433323735261595
2020-2024,49,Foreign-born,22531500,7912300.0,35.11661451745334
2020-2024,49,US-born,196328500,57925800.0,29.50452939843171
2020-2024,50,Foreign-born,3185300,1148800.0,36.06567670235143
2020-2024,50,US-born,50088100,15599600.0,31.144323701637717
2020-2024,51,Foreign-born,133153800,35445700.0,26.62011899022033
2020-2024,51,US-born,570819500,165764400.0,29.039722714448263
2020-2024,53,Foreign-born,139494000,34330500.0,24.61073594563207
2020-2024,53,US-born,455507500,133979900.0,29.4133246982761
2020-2024,54,Foreign-born,3455900,867700.0,25.10778668364247
2020-2024,54,US-born,77882100,25246200.0,32.41592098826303
2020-2024,55,Foreign-born,29257600,8778500.0,30.004169856720992
2020-2024,55,US-born,365511300,112146000.0,30.681951556627663
2020-2024,56,Foreign-born,1601200,688400.0,42.99275543342493
2020-2024,56,US-born,30047400,9349800.0,31.116835400067895
