period,year_start,year_end,country,country_code,country_key,iso3,is_aggregate,metric_key,metric_label,unit,years_observed,native_value,eu_migrant_value,extra_eu_migrant_value,gap_extra_eu_vs_native_pp,ratio_foreign_vs_native
2008-2013,2008,2013,Poland,PL,POL,POL,0,brain_waste,Highly educated employment rate,percentage points,6,73.94722222222222,94.92777777777778,72.63685185185184,-1.310370370370374,
2008-2013,2008,2013,Portugal,PT,PRT,PRT,0,brain_waste,Highly educated employment rate,percentage points,6,73.99814814814815,80.99958333333333,70.06111111111112,-3.9370370370370416,
2008-2013,2008,2013,Romania,RO,ROU,ROU,0,brain_waste,Highly educated employment rate,percentage points,6,74.1351851851852,,,,
2008-2013,2010,2013,Serbia,RS,SRB,SRB,0,brain_waste,Highly educated employment rate,percentage points,4,59.40416666666667,,,,
2008-2013,2008,2013,Slovakia,SK,SVK,SVK,0,brain_waste,Highly educated employment rate,percentage points,6,71.95833333333333,,,,
2008-2013,2008,2013,Slovenia,SI,SVN,SVN,0,brain_waste,Highly educated employment rate,percentage points,6,75.66388888888889,78.648,64.07555555555555,-11.318888888888884,
2008-2013,2008,2013,Spain,ES,ESP,ESP,0,brain_waste,Highly educated employment rate,percentage points,6,71.79444444444444,63.09722222222222,57.45261437908497,-14.341830065359474,
2008-2013,2008,2013,Sweden,SE,SWE,SWE,0,brain_waste,Highly educated employment rate,percentage points,6,81.47962962962963,82.33915441176471,61.71776960784314,-19.761860021786493,
2008-2013,2008,2013,Switzerland,CH,CHE,CHE,0,brain_waste,Highly educated employment rate,percentage points,6,82.86203703703704,79.6388888888889,68.99761029411765,-13.864426742919393,
2008-2013,2008,2013,United Kingdom,UK,GBR,GBR,0,brain_waste,Highly educated employment rate,percentage points,6,79.97962962962963,79.04248366013071,71.43823529411765,-8.54139433551198,
2008-2013,2008,2013,Albania,AL,ALB,ALB,0,incarceration,Foreign prison-population representation,%,6,82.85067103745074,,1.03860922031884,-81.8120618171319,0.012398383788429132
2008-2013,2008,2013,Austria,AT,AUT,AUT,0,incarceration,Foreign prison-population representation,%,6,52.807512415777325,,45.835002872083265,-5.61499666162007,0.8950173735353483
2008-2013,2008,2013,Belgium,BE,BEL,BEL,0,incarceration,Foreign prison-population representation,%,6,56.77546010254969,,43.12530579314157,-13.650154309408114,0.7601867666273
2008-2013,2010,2013,Bosnia and Herzegovina,BA,BIH,BIH,0,incarceration,Foreign prison-population representation,%,3,92.31036543983102,,1.7227368265854341,-90.58762861324557,0.018221107109136766
2008-2013,2008,2013,Bulgaria,BG,BGR,BGR,0,incarceration,Foreign prison-population representation,%,6,98.0155012595922,,1.9844821055802007,-96.03101915401199,0.020265010288813366
2008-2013,2008,2013,Croatia,HR,HRV,HRV,0,incarceration,Foreign prison-population representation,%,6,,,5.769076454785399,,
2008-2013,2008,2013,Cyprus,CY,CYP,CYP,0,incarceration,Foreign prison-population representation,%,6,42.61354224441041,,57.38667802475851,14.773135780348094,1.3498434261031587
2008-2013,2008,2013,Czechia,CZ,CZE,CZE,0,incarceration,Foreign prison-population representation,%,6,93.13111004835754,,6.868867568189105,-86.26224248016842,0.07423879419179058
2008-2013,2008,2013,Denmark,DK,DNK,DNK,0,incarceration,Foreign prison-population representation,%,6,76.66477063831488,,23.33522936168511,-53.329541276629776,0.3054022749707767
