period,country,country_key,iso3,is_aggregate,sex,age,comparison_group,comparison_label,reporting_country_rate_pct,comparison_rate_pct,employment_rate_gap_pp
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,71.58000000000001,71.02000000000001,-0.5600000000000023
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 64 years,foreign_country,Foreign-country citizens,71.58000000000001,61.6,-9.980000000000011
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 64 years,non_eu,Non-EU27 citizens,71.58000000000001,50.220000000000006,-21.360000000000007
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 24 years,eu27_total,EU27 citizens,55.839999999999996,55.56,-0.27999999999999403
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,55.839999999999996,53.18000000000001,-2.6599999999999895
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 24 years,foreign_country,Foreign-country citizens,55.839999999999996,50.18,-5.659999999999997
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 24 years,non_eu,Non-EU27 citizens,55.839999999999996,47.56,-8.279999999999994
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 29 years,eu27_total,EU27 citizens,66.83999999999999,66.8,-0.03999999999999204
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,66.83999999999999,66.36,-0.47999999999998977
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 29 years,foreign_country,Foreign-country citizens,66.83999999999999,62.58,-4.259999999999991
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 29 years,non_eu,Non-EU27 citizens,66.83999999999999,59.02,-7.819999999999986
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 39 years,eu27_total,EU27 citizens,77.22,77.28,0.060000000000002274
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,77.22,77.61999999999999,0.3999999999999915
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 39 years,foreign_country,Foreign-country citizens,77.22,72.64,-4.579999999999998
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 39 years,non_eu,Non-EU27 citizens,77.22,67.76,-9.459999999999994
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 59 years,eu27_total,EU27 citizens,82.47999999999999,82.26,-0.21999999999998465
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,82.47999999999999,80.6,-1.8799999999999955
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 59 years,foreign_country,Foreign-country citizens,82.47999999999999,75.52000000000001,-6.9599999999999795
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 59 years,non_eu,Non-EU27 citizens,82.47999999999999,70.1,-12.379999999999995
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 59 years,stateless,Stateless,82.47999999999999,69.5,-12.97999999999999
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 64 years,eu27_total,EU27 citizens,78.17999999999999,78.32,0.14000000000000057
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,78.17999999999999,79.53999999999999,1.3599999999999994
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 64 years,foreign_country,Foreign-country citizens,78.17999999999999,74.16,-4.019999999999996
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 64 years,non_eu,Non-EU27 citizens,78.17999999999999,68.49999999999999,-9.680000000000007
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 64 years,stateless,Stateless,78.17999999999999,69.2,-8.97999999999999
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 24 years,eu27_total,EU27 citizens,52.720000000000006,52.3,-0.4200000000000088
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,52.720000000000006,48.760000000000005,-3.960000000000001
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 24 years,foreign_country,Foreign-country citizens,52.720000000000006,45.58,-7.140000000000008
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 24 years,non_eu,Non-EU27 citizens,52.720000000000006,42.54,-10.180000000000007
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 29 years,eu27_total,EU27 citizens,64.74,64.42,-0.3199999999999932
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,64.74,61.980000000000004,-2.759999999999991
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 29 years,foreign_country,Foreign-country citizens,64.74,57.11999999999999,-7.6200000000000045
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 29 years,non_eu,Non-EU27 citizens,64.74,52.1,-12.639999999999993
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 39 years,eu27_total,EU27 citizens,75.12,74.74,-0.38000000000000966
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,75.12,72.7,-2.4200000000000017
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 39 years,foreign_country,Foreign-country citizens,75.12,65.84,-9.280000000000001
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 39 years,non_eu,Non-EU27 citizens,75.12,58.519999999999996,-16.60000000000001
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 39 years,stateless,Stateless,75.12,47.6,-27.520000000000003
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 59 years,eu27_total,EU27 citizens,80.6,80.1,-0.5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,80.6,76.55999999999999,-4.040000000000006
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 59 years,foreign_country,Foreign-country citizens,80.6,69.44000000000001,-11.159999999999982
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 59 years,non_eu,Non-EU27 citizens,80.6,61.44,-19.159999999999997
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 59 years,stateless,Stateless,80.6,43.7,-36.89999999999999
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 64 years,eu27_total,EU27 citizens,74.87999999999998,74.9,0.020000000000024443
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,74.87999999999998,75.12,0.2400000000000233
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 64 years,foreign_country,Foreign-country citizens,74.87999999999998,67.82000000000001,-7.059999999999974
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 64 years,non_eu,Non-EU27 citizens,74.87999999999998,59.64,-15.23999999999998
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 64 years,stateless,Stateless,74.87999999999998,43.824999999999996,-31.054999999999986
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,22.983333333333334,22.983333333333334,0.0
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,22.983333333333334,23.25,0.2666666666666657
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 24 years,foreign_country,Foreign-country citizens,22.983333333333334,18.03333333333333,-4.950000000000003
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 24 years,non_eu,Non-EU27 citizens,22.983333333333334,11.6,-11.383333333333335
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 29 years,eu27_total,EU27 citizens,41.46666666666666,41.78333333333333,0.31666666666667
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,41.46666666666666,45.93333333333334,4.466666666666676
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 29 years,foreign_country,Foreign-country citizens,41.46666666666666,34.88333333333333,-6.583333333333329
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 29 years,non_eu,Non-EU27 citizens,41.46666666666666,19.466666666666665,-21.999999999999996
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 39 years,eu27_total,EU27 citizens,57.449999999999996,57.633333333333326,0.18333333333333002
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,57.449999999999996,59.68333333333333,2.2333333333333343
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 39 years,foreign_country,Foreign-country citizens,57.449999999999996,45.53333333333333,-11.916666666666664
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 39 years,non_eu,Non-EU27 citizens,57.449999999999996,26.666666666666668,-30.783333333333328
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 59 years,eu27_total,EU27 citizens,64.91666666666667,64.7,-0.21666666666666856
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,64.91666666666667,62.083333333333336,-2.8333333333333357
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 59 years,foreign_country,Foreign-country citizens,64.91666666666667,50.449999999999996,-14.466666666666676
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 59 years,non_eu,Non-EU27 citizens,64.91666666666667,30.8,-34.116666666666674
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 59 years,stateless,Stateless,64.91666666666667,23.8,-41.116666666666674
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 64 years,eu27_total,EU27 citizens,60.63333333333333,60.53333333333333,-0.10000000000000142
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,60.63333333333333,59.46666666666667,-1.1666666666666643
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 64 years,foreign_country,Foreign-country citizens,60.63333333333333,48.833333333333336,-11.799999999999997
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 64 years,non_eu,Non-EU27 citizens,60.63333333333333,30.166666666666668,-30.466666666666665
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 64 years,stateless,Stateless,60.63333333333333,22.9,-37.733333333333334
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 24 years,eu27_total,EU27 citizens,25.599999999999998,25.45,-0.14999999999999858
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,25.599999999999998,22.3,-3.299999999999997
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 24 years,foreign_country,Foreign-country citizens,25.599999999999998,21.48333333333333,-4.116666666666667
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 24 years,non_eu,Non-EU27 citizens,25.599999999999998,20.233333333333334,-5.366666666666664
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 29 years,eu27_total,EU27 citizens,44.150000000000006,44.48333333333333,0.3333333333333215
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,44.150000000000006,49.633333333333326,5.48333333333332
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 29 years,foreign_country,Foreign-country citizens,44.150000000000006,44.199999999999996,0.04999999999999005
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 29 years,non_eu,Non-EU27 citizens,44.150000000000006,35.849999999999994,-8.300000000000011
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 39 years,eu27_total,EU27 citizens,61.46666666666666,61.95000000000001,0.4833333333333485
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,61.46666666666666,67.71666666666667,6.250000000000007
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 39 years,foreign_country,Foreign-country citizens,61.46666666666666,60.83333333333332,-0.63333333333334
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 39 years,non_eu,Non-EU27 citizens,61.46666666666666,51.31666666666666,-10.149999999999999
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 39 years,stateless,Stateless,61.46666666666666,37.86666666666667,-23.599999999999994
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 59 years,eu27_total,EU27 citizens,71.31666666666668,71.41666666666667,0.09999999999999432
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,71.31666666666668,72.76666666666667,1.4499999999999886
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 59 years,foreign_country,Foreign-country citizens,71.31666666666668,65.89999999999999,-5.416666666666686
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 59 years,non_eu,Non-EU27 citizens,71.31666666666668,53.666666666666664,-17.650000000000013
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 59 years,stateless,Stateless,71.31666666666668,36.96666666666667,-34.35000000000001
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 64 years,eu27_total,EU27 citizens,67.56666666666668,67.7,0.13333333333332575
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,67.56666666666668,69.56666666666666,1.9999999999999858
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 64 years,foreign_country,Foreign-country citizens,67.56666666666668,63.78333333333333,-3.7833333333333456
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 64 years,non_eu,Non-EU27 citizens,67.56666666666668,53.03333333333333,-14.533333333333346
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 64 years,stateless,Stateless,67.56666666666668,36.300000000000004,-31.266666666666673
2014-2019,Belgium,BEL,BEL,0,Total,From 15 to 24 years,eu27_total,EU27 citizens,24.316666666666666,24.233333333333338,-0.0833333333333286
2014-2019,Belgium,BEL,BEL,0,Total,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,24.316666666666666,22.766666666666666,-1.5500000000000007
2014-2019,Belgium,BEL,BEL,0,Total,From 15 to 24 years,foreign_country,Foreign-country citizens,24.316666666666666,19.7,-4.616666666666667
2014-2019,Belgium,BEL,BEL,0,Total,From 15 to 24 years,non_eu,Non-EU27 citizens,24.316666666666666,14.883333333333333,-9.433333333333334
2014-2019,Belgium,BEL,BEL,0,Total,From 15 to 29 years,eu27_total,EU27 citizens,42.81666666666667,43.166666666666664,0.3499999999999943
2014-2019,Belgium,BEL,BEL,0,Total,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,42.81666666666667,47.666666666666664,4.849999999999994
2014-2019,Belgium,BEL,BEL,0,Total,From 15 to 29 years,foreign_country,Foreign-country citizens,42.81666666666667,39.150000000000006,-3.6666666666666643
2014-2019,Belgium,BEL,BEL,0,Total,From 15 to 29 years,non_eu,Non-EU27 citizens,42.81666666666667,26.683333333333337,-16.133333333333333
2014-2019,Belgium,BEL,BEL,0,Total,From 15 to 29 years,stateless,Stateless,42.81666666666667,26.0,-16.81666666666667
2014-2019,Belgium,BEL,BEL,0,Total,From 15 to 39 years,eu27_total,EU27 citizens,59.48333333333333,59.81666666666667,0.3333333333333428
2014-2019,Belgium,BEL,BEL,0,Total,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,59.48333333333333,63.48333333333333,4.0
2014-2019,Belgium,BEL,BEL,0,Total,From 15 to 39 years,foreign_country,Foreign-country citizens,59.48333333333333,52.73333333333333,-6.75
2014-2019,Belgium,BEL,BEL,0,Total,From 15 to 39 years,no_response,No response,59.48333333333333,47.6,-11.883333333333326
