DATAFLOW,LAST UPDATE,freq,citizen,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,EL,2010,7210,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,EL,2011,7887,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,EL,2012,7875,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,EL,2013,7623,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,EL,2014,6882,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,EL,2015,5289,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,EL,2016,5195,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,EL,2017,5291,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,EL,2018,5822,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,EL,2019,6314,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,EL,2020,6799,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,EL,2021,6499,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,EL,2022,6022,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,EL,2023,5562,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,EL,2024,5973,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,ES,2008,26201,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,ES,2009,27162,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,ES,2010,26315,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,ES,2011,24502,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,ES,2012,22893,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,ES,2013,21116,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,ES,2014,19697,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,ES,2015,17870,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,ES,2016,17130,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,ES,2017,16549,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,ES,2018,16536,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,ES,2019,16470,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,ES,2020,15918,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,ES,2021,16272,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,ES,2022,16758,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,ES,2023,17693,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,ES,2024,19339,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,FI,2008,333,,
