YEAR,STATEFIP,US_State,is_imigrant,total_educated_pop,brain_waste_pop,brain_waste_pct
2015,50,Vermont,False,136693.0,41116.0,30.07908232316212
2015,50,Vermont,True,9002.0,2662.0,29.57120639857809
2015,51,Virginia,False,1549217.0,408206.0,26.349181554294848
2015,51,Virginia,True,368464.0,103245.0,28.020376481827263
2015,53,Washington,False,1176613.0,333893.0,28.377469907267727
2015,53,Washington,True,285629.0,81264.0,28.450892591438542
2015,54,West Virginia,False,212793.0,60492.0,28.42762684862754
2015,54,West Virginia,True,13884.0,2996.0,21.578795736099107
2015,55,Wisconsin,False,969044.0,284340.0,29.342320885326156
2015,55,Wisconsin,True,76023.0,20104.0,26.444628599239707
2015,56,Wyoming,False,87365.0,29859.0,34.17730212327591
2015,56,Wyoming,True,3151.0,1235.0,39.193906696286895
2016,1,Alabama,False,662902.0,192224.0,28.997348024293185
2016,1,Alabama,True,45607.0,11933.0,26.1648431161883
2016,2,Alaska,False,116355.0,33296.0,28.615873834386147
2016,2,Alaska,True,11773.0,4705.0,39.96432515076871
2016,4,Arizona,False,921994.0,280498.0,30.42297455297974
2016,4,Arizona,True,169654.0,51752.0,30.50443844530633
2016,5,Arkansas,False,362242.0,101691.0,28.072669651779748
2016,5,Arkansas,True,24447.0,6678.0,27.316235120873728
2016,6,California,False,5231244.0,1483609.0,28.360539099304106
2016,6,California,True,2365228.0,695977.0,29.425366180342866
2016,8,Colorado,False,1212693.0,371060.0,30.59801615083125
2016,8,Colorado,True,137224.0,43551.0,31.73715968052236
2016,9,Connecticut,False,722405.0,193951.0,26.847959247236663
2016,9,Connecticut,True,152786.0,45556.0,29.816868037647424
2016,10,Delaware,False,153417.0,44430.0,28.96028471421029
2016,10,Delaware,True,29214.0,5620.0,19.23735195454234
2016,11,District of Columbia,False,221682.0,38049.0,17.16377513735892
2016,11,District of Columbia,True,46792.0,10708.0,22.884253718584375
2016,12,Florida,False,2452173.0,775832.0,31.638550787403663
2016,12,Florida,True,938998.0,369344.0,39.33384309657741
2016,13,Georgia,False,1552871.0,470630.0,30.30708925596524
2016,13,Georgia,True,302512.0,104144.0,34.4264029195536
2016,15,Hawaii,False,222840.0,79688.0,35.760186681026745
2016,15,Hawaii,True,60152.0,26733.0,44.442412554861015
2016,16,Idaho,False,235569.0,75590.0,32.088262886882404
2016,16,Idaho,True,17211.0,4869.0,28.290047062924874
2016,17,Illinois,False,2228810.0,687345.0,30.839102480695978
2016,17,Illinois,True,460741.0,148392.0,32.207248757978995
2016,18,Indiana,False,963727.0,291088.0,30.204404359325824
2016,18,Indiana,True,80241.0,21631.0,26.957540409516334
2016,19,Iowa,False,519202.0,153092.0,29.486018929048807
2016,19,Iowa,True,38709.0,10301.0,26.61138236585807
2016,20,Kansas,False,522558.0,158363.0,30.305344095775016
2016,20,Kansas,True,50375.0,13957.0,27.70620347394541
2016,21,Kentucky,False,591423.0,183566.0,31.038021855761443
2016,21,Kentucky,True,40005.0,12475.0,31.18360204974378
2016,22,Louisiana,False,600833.0,176351.0,29.351084244706932
