period,year_start,year_end,country,country_code,country_key,iso3,is_aggregate,metric_key,metric_label,unit,years_observed,native_value,eu_migrant_value,extra_eu_migrant_value,gap_extra_eu_vs_native_pp,ratio_foreign_vs_native
2008-2013,2008,2013,Cyprus,CY,CYP,CYP,0,temporary_contract,Temporary contract rate,percentage points,6,9.24,8.2,68.92,59.69,
2008-2013,2008,2013,Czechia,CZ,CZE,CZE,0,brain_waste,Highly educated employment rate,percentage points,6,75.55,84.53,79.16,3.61,
2008-2013,2008,2013,Czechia,CZ,CZE,CZE,0,incarceration,Foreign prison-population representation,ratio,6,93.13,,6.87,-86.26,0.07
2008-2013,2008,2013,Czechia,CZ,CZE,CZE,0,poverty,Poverty risk rate,percentage points,6,14.34,18.63,25.01,10.74,
2008-2013,2008,2013,Czechia,CZ,CZE,CZE,0,temporary_contract,Temporary contract rate,percentage points,6,10.67,18.51,17.49,6.81,
2008-2013,2008,2013,Germany,DE,DEU,DEU,0,brain_waste,Highly educated employment rate,percentage points,6,79.47,75.83,62.15,-17.32,
2008-2013,2008,2013,Germany,DE,DEU,DEU,0,poverty,Poverty risk rate,percentage points,6,20.62,21.71,37.95,17.33,
2008-2013,2008,2013,Germany,DE,DEU,DEU,0,temporary_contract,Temporary contract rate,percentage points,6,17.72,19.35,22.8,5.08,
2008-2013,2008,2013,Denmark,DK,DNK,DNK,0,brain_waste,Highly educated employment rate,percentage points,6,78.56,79.28,69.23,-9.32,
2008-2013,2008,2013,Denmark,DK,DNK,DNK,0,incarceration,Foreign prison-population representation,ratio,6,76.66,,23.34,-53.33,0.31
2008-2013,2008,2013,Denmark,DK,DNK,DNK,0,poverty,Poverty risk rate,percentage points,6,17.96,29.79,43.08,24.83,
2008-2013,2008,2013,Denmark,DK,DNK,DNK,0,temporary_contract,Temporary contract rate,percentage points,6,9.5,13.16,16.12,6.62,
2008-2013,2008,2013,Spain,ES,ESP,ESP,0,brain_waste,Highly educated employment rate,percentage points,6,71.79,63.1,57.45,-14.34,
2008-2013,2008,2013,Spain,ES,ESP,ESP,0,incarceration,Foreign prison-population representation,ratio,6,65.55,,34.45,-31.1,0.53
2008-2013,2008,2013,Spain,ES,ESP,ESP,0,poverty,Poverty risk rate,percentage points,6,22.04,39.75,53.4,30.59,
2008-2013,2008,2013,Spain,ES,ESP,ESP,0,temporary_contract,Temporary contract rate,percentage points,6,26.3,42.12,41.84,15.54,
2008-2013,2008,2013,Estonia,EE,EST,EST,0,brain_waste,Highly educated employment rate,percentage points,6,77.95,70.49,70.45,-7.51,
2008-2013,2008,2013,Estonia,EE,EST,EST,0,incarceration,Foreign prison-population representation,ratio,6,61.7,,33.22,-22.74,0.63
2008-2013,2008,2013,Estonia,EE,EST,EST,0,poverty,Poverty risk rate,percentage points,6,20.16,18.91,33.81,13.24,
2008-2013,2008,2013,Estonia,EE,EST,EST,0,temporary_contract,Temporary contract rate,percentage points,6,4.07,,5.59,1.52,
2008-2013,2008,2013,Finland,FI,FIN,FIN,0,brain_waste,Highly educated employment rate,percentage points,6,77.64,79.21,57.68,-19.97,
2008-2013,2008,2013,Finland,FI,FIN,FIN,0,incarceration,Foreign prison-population representation,ratio,6,87.97,,12.03,-75.94,0.14
2008-2013,2008,2013,Finland,FI,FIN,FIN,0,poverty,Poverty risk rate,percentage points,6,16.64,22.01,45.05,28.37,
2008-2013,2008,2013,Finland,FI,FIN,FIN,0,temporary_contract,Temporary contract rate,percentage points,6,17.7,18.22,27.07,9.37,
2008-2013,2008,2013,France,FR,FRA,FRA,0,brain_waste,Highly educated employment rate,percentage points,6,73.4,71.21,58.46,-14.94,
2008-2013,2008,2013,France,FR,FRA,FRA,0,incarceration,Foreign prison-population representation,ratio,6,80.54,,19.46,-61.08,0.24
