YEAR,period,country,country_code,country_key,iso3,is_aggregate,metric_key,metric_label,unit,native_value,eu_migrant_value,extra_eu_migrant_value,gap_extra_eu_vs_native_pp,ratio_foreign_vs_native
2001,1995-2007,Estonia,EE,EST,EST,0,brain_waste,Highly educated employment rate,percentage points,76.28888888888889,,55.50909090909091,-20.779797979797983,
2001,1995-2007,Finland,FI,FIN,FIN,0,brain_waste,Highly educated employment rate,percentage points,77.24444444444445,83.64444444444445,60.620000000000005,-16.62444444444445,
2001,1995-2007,France,FR,FRA,FRA,0,brain_waste,Highly educated employment rate,percentage points,72.05555555555556,68.06428571428572,61.86666666666667,-10.18888888888889,
2001,1995-2007,United Kingdom,UK,GBR,GBR,0,brain_waste,Highly educated employment rate,percentage points,87.05555555555556,83.39411764705882,76.77058823529411,-10.284967320261444,
2001,1995-2007,Greece,EL,GRC,GRC,0,brain_waste,Highly educated employment rate,percentage points,70.47777777777777,62.324999999999996,70.03999999999999,-0.43777777777778226,
2001,1995-2007,Hungary,HU,HUN,HUN,0,brain_waste,Highly educated employment rate,percentage points,74.85555555555555,80.6888888888889,73.125,-1.7305555555555543,
2001,1995-2007,Ireland,IE,IRL,IRL,0,brain_waste,Highly educated employment rate,percentage points,84.24705882352941,84.09,76.62666666666668,-7.620392156862735,
2001,1995-2007,Iceland,IS,ISL,ISL,0,brain_waste,Highly educated employment rate,percentage points,92.8375,,,,
2001,1995-2007,Lithuania,LT,LTU,LTU,0,brain_waste,Highly educated employment rate,percentage points,77.73333333333333,,,,
2001,1995-2007,Luxembourg,LU,LUX,LUX,0,brain_waste,Highly educated employment rate,percentage points,81.24117647058823,77.65882352941176,80.90714285714286,-0.33403361344537075,
2001,1995-2007,Netherlands,NL,NLD,NLD,0,brain_waste,Highly educated employment rate,percentage points,77.98888888888888,81.60625,71.13529411764705,-6.853594771241831,
2001,1995-2007,Norway,NO,NOR,NOR,0,brain_waste,Highly educated employment rate,percentage points,82.44444444444444,80.31333333333333,79.42,-3.024444444444441,
2001,1995-2007,Portugal,PT,PRT,PRT,0,brain_waste,Highly educated employment rate,percentage points,85.4235294117647,,,,
2001,1995-2007,Sweden,SE,SWE,SWE,0,brain_waste,Highly educated employment rate,percentage points,80.96666666666667,76.47333333333333,69.62666666666665,-11.340000000000018,
2002,1995-2007,Austria,AT,AUT,AUT,0,brain_waste,Highly educated employment rate,percentage points,74.78888888888889,80.89333333333335,77.59166666666667,2.802777777777777,
2002,1995-2007,Belgium,BE,BEL,BEL,0,brain_waste,Highly educated employment rate,percentage points,76.77058823529411,76.85333333333332,56.21666666666667,-20.553921568627445,
2002,1995-2007,Bulgaria,BG,BGR,BGR,0,brain_waste,Highly educated employment rate,percentage points,67.02777777777777,,,,
2002,1995-2007,Switzerland,CH,CHE,CHE,0,brain_waste,Highly educated employment rate,percentage points,84.80000000000001,85.10625,77.94375,-6.856250000000017,
2002,1995-2007,Cyprus,CY,CYP,CYP,0,brain_waste,Highly educated employment rate,percentage points,81.28888888888889,85.80714285714285,56.74666666666666,-24.54222222222223,
2002,1995-2007,Czechia,CZ,CZE,CZE,0,brain_waste,Highly educated employment rate,percentage points,79.15555555555555,77.64999999999999,69.09285714285714,-10.06269841269841,
2002,1995-2007,Germany,DE,DEU,DEU,0,brain_waste,Highly educated employment rate,percentage points,75.51666666666667,74.58125,58.705882352941174,-16.81078431372549,
2002,1995-2007,Denmark,DK,DNK,DNK,0,brain_waste,Highly educated employment rate,percentage points,80.13333333333334,75.24,63.99333333333333,-16.140000000000008,
2002,1995-2007,Spain,ES,ESP,ESP,0,brain_waste,Highly educated employment rate,percentage points,72.62777777777778,67.61764705882354,63.964705882352945,-8.663071895424835,
2002,1995-2007,Estonia,EE,EST,EST,0,brain_waste,Highly educated employment rate,percentage points,80.80000000000001,,58.55384615384616,-22.246153846153852,
2002,1995-2007,Finland,FI,FIN,FIN,0,brain_waste,Highly educated employment rate,percentage points,77.58333333333333,79.9625,69.73333333333333,-7.849999999999994,
2002,1995-2007,France,FR,FRA,FRA,0,brain_waste,Highly educated employment rate,percentage points,72.12777777777778,66.33571428571429,60.879999999999995,-11.247777777777785,
2002,1995-2007,United Kingdom,UK,GBR,GBR,0,brain_waste,Highly educated employment rate,percentage points,86.51111111111112,82.1375,78.91875,-7.592361111111117,
2002,1995-2007,Greece,EL,GRC,GRC,0,brain_waste,Highly educated employment rate,percentage points,72.11111111111111,73.64999999999999,70.61333333333333,-1.4977777777777845,
2002,1995-2007,Hungary,HU,HUN,HUN,0,brain_waste,Highly educated employment rate,percentage points,74.79444444444444,87.2875,63.3111111111111,-11.483333333333334,
2002,1995-2007,Ireland,IE,IRL,IRL,0,brain_waste,Highly educated employment rate,percentage points,78.94444444444444,81.62,74.57333333333332,-4.371111111111119,
2002,1995-2007,Iceland,IS,ISL,ISL,0,brain_waste,Highly educated employment rate,percentage points,94.15,,,,
2002,1995-2007,Lithuania,LT,LTU,LTU,0,brain_waste,Highly educated employment rate,percentage points,75.82222222222222,,,,
2002,1995-2007,Luxembourg,LU,LUX,LUX,0,brain_waste,Highly educated employment rate,percentage points,80.99411764705883,79.6,75.23333333333333,-5.760784313725495,
2002,1995-2007,Netherlands,NL,NLD,NLD,0,brain_waste,Highly educated employment rate,percentage points,79.00555555555555,85.98125,69.38125,-9.624305555555551,
2002,1995-2007,Norway,NO,NOR,NOR,0,brain_waste,Highly educated employment rate,percentage points,82.64444444444445,89.64,71.98333333333333,-10.661111111111111,
2002,1995-2007,Portugal,PT,PRT,PRT,0,brain_waste,Highly educated employment rate,percentage points,81.03888888888889,,79.27,-1.7688888888888954,
2002,1995-2007,Slovenia,SI,SVN,SVN,0,brain_waste,Highly educated employment rate,percentage points,79.51176470588236,,,,
2002,1995-2007,Sweden,SE,SWE,SWE,0,brain_waste,Highly educated employment rate,percentage points,80.5611111111111,77.93125,63.14666666666667,-17.414444444444435,
2003,1995-2007,Austria,AT,AUT,AUT,0,brain_waste,Highly educated employment rate,percentage points,74.96111111111111,82.38000000000001,77.68571428571428,2.7246031746031747,
2003,1995-2007,Belgium,BE,BEL,BEL,0,brain_waste,Highly educated employment rate,percentage points,72.97777777777777,80.64666666666668,50.84166666666667,-22.136111111111106,
2003,1995-2007,Bulgaria,BG,BGR,BGR,0,brain_waste,Highly educated employment rate,percentage points,68.34444444444445,,,,
2003,1995-2007,Switzerland,CH,CHE,CHE,0,brain_waste,Highly educated employment rate,percentage points,83.93333333333334,79.39999999999999,74.00625,-9.927083333333343,
2003,1995-2007,Cyprus,CY,CYP,CYP,0,brain_waste,Highly educated employment rate,percentage points,83.30000000000001,83.7,66.45333333333333,-16.84666666666668,
2003,1995-2007,Czechia,CZ,CZE,CZE,0,brain_waste,Highly educated employment rate,percentage points,78.05555555555556,85.4625,76.01666666666667,-2.0388888888888914,
2003,1995-2007,Germany,DE,DEU,DEU,0,brain_waste,Highly educated employment rate,percentage points,75.83888888888889,73.9,59.66470588235294,-16.174183006535948,
2003,1995-2007,Denmark,DK,DNK,DNK,0,brain_waste,Highly educated employment rate,percentage points,79.10555555555555,77.08333333333333,61.25333333333333,-17.852222222222224,
2003,1995-2007,Spain,ES,ESP,ESP,0,brain_waste,Highly educated employment rate,percentage points,73.14444444444445,67.73529411764706,60.17777777777778,-12.966666666666669,
2003,1995-2007,Estonia,EE,EST,EST,0,brain_waste,Highly educated employment rate,percentage points,78.41666666666667,,66.14545454545454,-12.27121212121213,
2003,1995-2007,Finland,FI,FIN,FIN,0,brain_waste,Highly educated employment rate,percentage points,77.59444444444445,73.63,44.5,-33.09444444444445,
2003,1995-2007,France,FR,FRA,FRA,0,brain_waste,Highly educated employment rate,percentage points,76.06470588235294,77.26363636363637,60.875,-15.18970588235294,
2003,1995-2007,United Kingdom,UK,GBR,GBR,0,brain_waste,Highly educated employment rate,percentage points,86.82777777777778,88.13333333333334,78.01764705882353,-8.810130718954255,
2003,1995-2007,Greece,EL,GRC,GRC,0,brain_waste,Highly educated employment rate,percentage points,72.51111111111112,70.425,71.08666666666666,-1.424444444444461,
2003,1995-2007,Hungary,HU,HUN,HUN,0,brain_waste,Highly educated employment rate,percentage points,75.23333333333333,82.61111111111111,69.58571428571429,-5.647619047619045,
2003,1995-2007,Ireland,IE,IRL,IRL,0,brain_waste,Highly educated employment rate,percentage points,79.67222222222222,83.69,69.5625,-10.109722222222217,
2003,1995-2007,Iceland,IS,ISL,ISL,0,brain_waste,Highly educated employment rate,percentage points,93.1875,,,,
2003,1995-2007,Lithuania,LT,LTU,LTU,0,brain_waste,Highly educated employment rate,percentage points,77.75555555555555,,,,
