YEAR,period,country,country_key,iso3,is_aggregate,sex,age,citizen_group,citizen_label,employment_rate_pct,obs_flag,conf_status
2018,2014-2019,Croatia,HRV,HRV,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,20.5,,
2019,2014-2019,Croatia,HRV,HRV,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,22.3,,
2020,2020-2024,Croatia,HRV,HRV,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,19.2,,
2021,2020-2024,Croatia,HRV,HRV,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,20.0,b,
2022,2020-2024,Croatia,HRV,HRV,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,22.5,,
2023,2020-2024,Croatia,HRV,HRV,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,19.4,,
2024,2020-2024,Croatia,HRV,HRV,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,20.6,,
2014,2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,20.4,,
2015,2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,23.1,,
2016,2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,24.6,,
2017,2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,24.8,,
2018,2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,24.2,b,
2019,2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,23.5,,
2020,2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,22.7,,
2021,2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,23.2,b,
2022,2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,24.4,,
2023,2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,24.0,,
2024,2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,24.7,,
2014,2014-2019,Ireland,IRL,IRL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,37.4,,
2015,2014-2019,Ireland,IRL,IRL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,38.1,,
2016,2014-2019,Ireland,IRL,IRL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,42.0,,
2017,2014-2019,Ireland,IRL,IRL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,39.9,b,
2018,2014-2019,Ireland,IRL,IRL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,39.9,,
2019,2014-2019,Ireland,IRL,IRL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,41.5,,
2020,2020-2024,Ireland,IRL,IRL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,36.7,,
2021,2020-2024,Ireland,IRL,IRL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,42.7,b,
2022,2020-2024,Ireland,IRL,IRL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,47.2,,
2023,2020-2024,Ireland,IRL,IRL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,48.3,,
2024,2020-2024,Ireland,IRL,IRL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,48.4,,
2014,2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,73.7,,
2015,2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,76.5,,
2016,2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,78.1,,
2017,2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,76.5,,
2018,2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,76.2,,
2019,2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,76.1,,
2020,2020-2024,Iceland,ISL,ISL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,68.6,b,
2021,2020-2024,Iceland,ISL,ISL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,68.6,b,
2022,2020-2024,Iceland,ISL,ISL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,74.5,,
2023,2020-2024,Iceland,ISL,ISL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,75.9,,
2024,2020-2024,Iceland,ISL,ISL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,75.3,,
2014,2014-2019,Italy,ITA,ITA,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,12.8,,
2015,2014-2019,Italy,ITA,ITA,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,12.3,,
2016,2014-2019,Italy,ITA,ITA,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,13.6,,
2017,2014-2019,Italy,ITA,ITA,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,13.6,,
2018,2014-2019,Italy,ITA,ITA,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,13.9,b,
