period,country,country_key,iso3,is_aggregate,sex,age,citizen_group,citizen_label,employment_rate_pct,years_observed
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 64 years,non_eu,Non-EU27 citizens,50.220000000000006,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 64 years,reporting_country,Reporting-country citizens,71.58000000000001,5
2020-2024,Austria,AUT,AUT,0,Females,From 15 to 64 years,total,Total,69.47999999999999,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 24 years,eu27_total,EU27 citizens,55.56,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,53.18000000000001,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 24 years,foreign_country,Foreign-country citizens,50.18,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 24 years,non_eu,Non-EU27 citizens,47.56,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 24 years,reporting_country,Reporting-country citizens,55.839999999999996,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 24 years,total,Total,54.7,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 29 years,eu27_total,EU27 citizens,66.8,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,66.36,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 29 years,foreign_country,Foreign-country citizens,62.58,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 29 years,non_eu,Non-EU27 citizens,59.02,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 29 years,reporting_country,Reporting-country citizens,66.83999999999999,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 29 years,total,Total,65.92,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 39 years,eu27_total,EU27 citizens,77.28,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,77.61999999999999,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 39 years,foreign_country,Foreign-country citizens,72.64,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 39 years,non_eu,Non-EU27 citizens,67.76,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 39 years,reporting_country,Reporting-country citizens,77.22,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 39 years,total,Total,76.08,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 59 years,eu27_total,EU27 citizens,82.26,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,80.6,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 59 years,foreign_country,Foreign-country citizens,75.52000000000001,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 59 years,non_eu,Non-EU27 citizens,70.1,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 59 years,reporting_country,Reporting-country citizens,82.47999999999999,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 59 years,stateless,Stateless,69.5,1
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 59 years,total,Total,80.94000000000001,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 64 years,eu27_total,EU27 citizens,78.32,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,79.53999999999999,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 64 years,foreign_country,Foreign-country citizens,74.16,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 64 years,non_eu,Non-EU27 citizens,68.49999999999999,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 64 years,reporting_country,Reporting-country citizens,78.17999999999999,5
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 64 years,stateless,Stateless,69.2,1
2020-2024,Austria,AUT,AUT,0,Males,From 15 to 64 years,total,Total,77.32000000000001,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 24 years,eu27_total,EU27 citizens,52.3,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,48.760000000000005,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 24 years,foreign_country,Foreign-country citizens,45.58,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 24 years,non_eu,Non-EU27 citizens,42.54,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 24 years,reporting_country,Reporting-country citizens,52.720000000000006,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 24 years,total,Total,51.339999999999996,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 29 years,eu27_total,EU27 citizens,64.42,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,61.980000000000004,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 29 years,foreign_country,Foreign-country citizens,57.11999999999999,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 29 years,non_eu,Non-EU27 citizens,52.1,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 29 years,reporting_country,Reporting-country citizens,64.74,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 29 years,total,Total,63.04,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 39 years,eu27_total,EU27 citizens,74.74,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,72.7,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 39 years,foreign_country,Foreign-country citizens,65.84,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 39 years,non_eu,Non-EU27 citizens,58.519999999999996,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 39 years,reporting_country,Reporting-country citizens,75.12,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 39 years,stateless,Stateless,47.6,1
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 39 years,total,Total,72.78,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 59 years,eu27_total,EU27 citizens,80.1,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,76.55999999999999,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 59 years,foreign_country,Foreign-country citizens,69.44000000000001,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 59 years,non_eu,Non-EU27 citizens,61.44,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 59 years,reporting_country,Reporting-country citizens,80.6,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 59 years,stateless,Stateless,43.7,4
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 59 years,total,Total,78.14000000000001,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 64 years,eu27_total,EU27 citizens,74.9,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,75.12,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 64 years,foreign_country,Foreign-country citizens,67.82000000000001,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 64 years,non_eu,Non-EU27 citizens,59.64,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 64 years,reporting_country,Reporting-country citizens,74.87999999999998,5
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 64 years,stateless,Stateless,43.824999999999996,4
2020-2024,Austria,AUT,AUT,0,Total,From 15 to 64 years,total,Total,73.4,5
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,22.983333333333334,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,23.25,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 24 years,foreign_country,Foreign-country citizens,18.03333333333333,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 24 years,non_eu,Non-EU27 citizens,11.6,3
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 24 years,reporting_country,Reporting-country citizens,22.983333333333334,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 24 years,total,Total,22.51666666666667,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 29 years,eu27_total,EU27 citizens,41.78333333333333,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,45.93333333333334,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 29 years,foreign_country,Foreign-country citizens,34.88333333333333,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 29 years,non_eu,Non-EU27 citizens,19.466666666666665,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 29 years,reporting_country,Reporting-country citizens,41.46666666666666,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 29 years,total,Total,40.63333333333333,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 39 years,eu27_total,EU27 citizens,57.633333333333326,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,59.68333333333333,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 39 years,foreign_country,Foreign-country citizens,45.53333333333333,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 39 years,non_eu,Non-EU27 citizens,26.666666666666668,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 39 years,reporting_country,Reporting-country citizens,57.449999999999996,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 39 years,total,Total,55.71666666666667,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 59 years,eu27_total,EU27 citizens,64.7,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,62.083333333333336,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 59 years,foreign_country,Foreign-country citizens,50.449999999999996,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 59 years,non_eu,Non-EU27 citizens,30.8,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,64.91666666666667,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 59 years,stateless,Stateless,23.8,1
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 59 years,total,Total,63.083333333333336,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 64 years,eu27_total,EU27 citizens,60.53333333333333,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,59.46666666666667,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 64 years,foreign_country,Foreign-country citizens,48.833333333333336,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 64 years,non_eu,Non-EU27 citizens,30.166666666666668,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 64 years,reporting_country,Reporting-country citizens,60.63333333333333,6
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 64 years,stateless,Stateless,22.9,1
2014-2019,Belgium,BEL,BEL,0,Females,From 15 to 64 years,total,Total,59.18333333333333,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 24 years,eu27_total,EU27 citizens,25.45,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,22.3,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 24 years,foreign_country,Foreign-country citizens,21.48333333333333,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 24 years,non_eu,Non-EU27 citizens,20.233333333333334,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 24 years,reporting_country,Reporting-country citizens,25.599999999999998,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 24 years,total,Total,25.26666666666667,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 29 years,eu27_total,EU27 citizens,44.48333333333333,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,49.633333333333326,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 29 years,foreign_country,Foreign-country citizens,44.199999999999996,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 29 years,non_eu,Non-EU27 citizens,35.849999999999994,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 29 years,reporting_country,Reporting-country citizens,44.150000000000006,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 29 years,total,Total,44.083333333333336,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 39 years,eu27_total,EU27 citizens,61.95000000000001,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,67.71666666666667,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 39 years,foreign_country,Foreign-country citizens,60.83333333333332,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 39 years,non_eu,Non-EU27 citizens,51.31666666666666,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 39 years,reporting_country,Reporting-country citizens,61.46666666666666,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 39 years,stateless,Stateless,37.86666666666667,3
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 39 years,total,Total,61.333333333333336,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 59 years,eu27_total,EU27 citizens,71.41666666666667,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,72.76666666666667,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 59 years,foreign_country,Foreign-country citizens,65.89999999999999,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 59 years,non_eu,Non-EU27 citizens,53.666666666666664,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 59 years,reporting_country,Reporting-country citizens,71.31666666666668,6
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 59 years,stateless,Stateless,36.96666666666667,3
2014-2019,Belgium,BEL,BEL,0,Males,From 15 to 59 years,total,Total,70.61666666666666,6
